energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,0.74965677,-0.74965896,0.01033460,-0.01033457,0.02591672,-0.02591707,0.20095859,-0.20095981,0.15932778,-0.15932864,0.01042002,-0.01041998,0.42127617,-0.42127709,0.21150920,-0.21150989,0.03618696,-0.03618699
-5.99399700,0.76005284,-0.76005576,0.00995754,-0.00995752,0.02859062,-0.02859104,0.20999901,-0.21000054,0.16516778,-0.16516885,0.00972290,-0.00972287,0.42470009,-0.42470137,0.21670422,-0.21670508,0.03575032,-0.03575038
-5.98799400,0.77896357,-0.77896730,0.00962543,-0.00962541,0.03191402,-0.03191452,0.22235030,-0.22235216,0.17323180,-0.17323310,0.00906773,-0.00906770,0.43241954,-0.43242120,0.22381613,-0.22381717,0.03561681,-0.03561690
-5.98199100,0.80705891,-0.80706351,0.00934553,-0.00934551,0.03595851,-0.03595911,0.23830458,-0.23830681,0.18366278,-0.18366433,0.00846280,-0.00846277,0.44476389,-0.44476596,0.23299710,-0.23299833,0.03582548,-0.03582560
-5.97598799,0.84489896,-0.84490449,0.00912351,-0.00912349,0.04079408,-0.04079478,0.25812492,-0.25812755,0.19658276,-0.19658457,0.00791495,-0.00791493,0.46199845,-0.46200095,0.24436539,-0.24436682,0.03641111,-0.03641126
-5.96998499,0.89291902,-0.89292553,0.00896321,-0.00896319,0.04648731,-0.04648813,0.28203732,-0.28204038,0.21209032,-0.21209241,0.00742946,-0.00742944,0.48431718,-0.48432012,0.25800153,-0.25800316,0.03740326,-0.03740345
-5.96398199,0.95141549,-0.95142303,0.00886656,-0.00886655,0.05309931,-0.05310025,0.31022206,-0.31022556,0.23025800,-0.23026040,0.00701003,-0.00701001,0.51183613,-0.51183954,0.27394509,-0.27394693,0.03882546,-0.03882570
-5.95797899,1.02053257,-1.02054115,0.00883351,-0.00883350,0.06068337,-0.06068445,0.34280457,-0.34280853,0.25112953,-0.25113224,0.00665875,-0.00665874,0.54458778,-0.54459166,0.29219213,-0.29219418,0.04069441,-0.04069468
-5.95197599,1.10024985,-1.10025950,0.00886205,-0.00886205,0.06928245,-0.06928367,0.37984597,-0.37985040,0.27471694,-0.27471999,0.00637619,-0.00637618,0.58251619,-0.58252053,0.31269324,-0.31269550,0.04301927,-0.04301958
-5.94597299,1.19037119,-1.19038192,0.00894831,-0.00894831,0.07892650,-0.07892787,0.42133365,-0.42133854,0.30099769,-0.30100108,0.00616145,-0.00616145,0.62547305,-0.62547784,0.33535227,-0.33535473,0.04580112,-0.04580147
-5.93996998,1.29051504,-1.29052681,0.00908665,-0.00908666,0.08962976,-0.08963129,0.46717213,-0.46717748,0.32991160,-0.32991535,0.00601232,-0.00601232,0.67321480,-0.67322002,0.36002577,-0.36002841,0.04903244,-0.04903283
-5.93396698,1.40010671,-1.40011950,0.00926997,-0.00926997,0.10138811,-0.10138980,0.51717483,-0.51718063,0.36135810,-0.36136220,0.00592537,-0.00592538,0.72540091,-0.72540655,0.38652308,-0.38652589,0.05269677,-0.05269720
-5.92796398,1.51837329,-1.51838705,0.00948986,-0.00948986,0.11417659,-0.11417844,0.57105713,-0.57106334,0.39519351,-0.39519796,0.00589619,-0.00589620,0.78159359,-0.78159959,0.41460727,-0.41461022,0.05676848,-0.05676895
-5.92196098,1.64434177,-1.64435641,0.00973696,-0.00973697,0.12794728,-0.12794929,0.62843129,-0.62843787,0.43122890,-0.43123369,0.00591950,-0.00591951,0.84125905,-0.84126537,0.44399686,-0.44399992,0.06121270,-0.06121320
-5.91595798,1.77684101,-1.77685644,0.01000126,-0.01000127,0.14262766,-0.14262983,0.68880383,-0.68881074,0.46922851,-0.46923364,0.00598939,-0.00598941,0.90377080,-0.90377739,0.47436848,-0.47437163,0.06598547,-0.06598601
-5.90995498,1.91450859,-1.91452468,0.01027248,-0.01027249,0.15811953,-0.15812185,0.75157593,-0.75158309,0.50890910,-0.50891454,0.00609950,-0.00609952,0.96841506,-0.96842185,0.50536051,-0.50536371,0.07103407,-0.07103462
-5.90395198,2.05580284,-2.05581945,0.01054036,-0.01054037,0.17429875,-0.17430121,0.81604718,-0.81605451,0.54994036,-0.54994609,0.00624319,-0.00624321,1.03439867,-1.03440557,0.53657779,-0.53658100,0.07629758,-0.07629815
-5.89794897,2.19902097,-2.19903793,0.01079509,-0.01079510,0.19101577,-0.19101836,0.88142312,-0.88143055,0.59194674,-0.59195273,0.00641379,-0.00641381,1.10085962,-1.10086655,0.56759738,-0.56760056,0.08170777,-0.08170835
-5.89194597,2.34232332,-2.34234046,0.01102757,-0.01102758,0.20809718,-0.20809987,0.94682682,-0.94683425,0.63451076,-0.63451696,0.00660473,-0.00660475,1.16688036,-1.16688724,0.59797555,-0.59797865,0.08719018,-0.08719076
-5.88594297,2.48376423,-2.48378134,0.01122979,-0.01122980,0.22534814,-0.22535092,1.01131441,-1.01132173,0.67717803,-0.67718441,0.00680978,-0.00680980,1.23150397,-1.23151069,0.62725574,-0.62725872,0.09266553,-0.09266611
-5.87993997,2.62132902,-2.62134589,0.01139506,-0.01139507,0.24255598,-0.24255881,1.07389439,-1.07390149,0.71946412,-0.71947062,0.00702318,-0.00702321,1.29375288,-1.29375934,0.65497769,-0.65498050,0.09805139,-0.09805195
-5.87393697,2.75297673,-2.75299314,0.01151826,-0.01151827,0.25949453,-0.25949740,1.13355044,-1.13355720,0.76086314,-0.76086970,0.00723986,-0.00723989,1.35264998,-1.35265608,0.68068734,-0.68068992,0.10326407,-0.10326461
-5.86793397,2.87668771,-2.87670344,0.01159606,-0.01159607,0.27592955,-0.27593242,1.18926692,-1.18927325,0.80085810,-0.80086467,0.00745556,-0.00745558,1.40724172,-1.40724736,0.70394741,-0.70394973,0.10822073,-0.10822123
-5.86193097,2.99051476,-2.99052959,0.01162697,-0.01162698,0.29162466,-0.29162751,1.24005647,-1.24006225,0.83893281,-0.83893931,0.00766695,-0.00766697,1.45662240,-1.45662748,0.72434847,-0.72435048,0.11284164,-0.11284210
-5.85592796,3.09263629,-3.09265002,0.01161150,-0.01161151,0.30634798,-0.30635078,1.28498846,-1.28499359,0.87458499,-0.87459136,0.00787180,-0.00787182,1.49995902,-1.49996346,0.74151993,-0.74152159,0.11705250,-0.11705291
-5.84992496,3.18140965,-3.18142206,0.01155209,-0.01155210,0.31987900,-0.31988171,1.32321741,-1.32322179,0.90734034,-0.90734651,0.00806904,-0.00806906,1.53651580,-1.53651952,0.75514083,-0.75514210,0.12078676,-0.12078711
-5.84392196,3.25542247,-3.25543341,0.01145311,-0.01145311,0.33201548,-0.33201807,1.35401001,-1.35401357,0.93676696,-0.93677288,0.00825883,-0.00825884,1.56567734,-1.56568025,0.76494976,-0.76495062,0.12398782,-0.12398810
-5.83791896,3.31354011,-3.31354942,0.01132070,-0.01132070,0.34258021,-0.34258266,1.37676972,-1.37677240,0.96248976,-0.96249535,0.00844258,-0.00844260,1.58696940,-1.58697147,0.77075371,-0.77075415,0.12661105,-0.12661126
-5.83191596,3.35494681,-3.35495438,0.01116263,-0.01116264,0.35142728,-0.35142956,1.39105762,-1.39105937,0.98420408,-0.98420930,0.00862297,-0.00862298,1.60007652,-1.60007771,0.77243528,-0.77243527,0.12862550,-0.12862564
-5.82591296,3.37917872,-3.37918447,0.01098809,-0.01098809,0.35844750,-0.35844959,1.39660865,-1.39660944,1.00168813,-1.00169294,0.00880386,-0.00880387,1.60485524,-1.60485553,0.76995790,-0.76995744,0.13001525,-0.13001532
