energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.58712763,0.41249446,1.79740277,0.00172618,0.18646674,0.01999046,0.21589835,0.52386552,0.24410678
-5.99399700,2.57796662,0.40209855,1.80721677,0.00169572,0.18159127,0.01931385,0.21187867,0.50316169,0.23598634
-5.98799400,2.56790122,0.39190252,1.81587655,0.00166472,0.17678427,0.01860681,0.20781164,0.48372354,0.22793527
-5.98199100,2.55670312,0.38200242,1.82304623,0.00163327,0.17207330,0.01787765,0.20373508,0.46560490,0.22001402
-5.97598799,2.54404423,0.37246763,1.82833131,0.00160141,0.16747500,0.01713448,0.19967738,0.44880608,0.21227152
-5.96998499,2.52951250,0.36334031,1.83129362,0.00156912,0.16299522,0.01638494,0.19565754,0.43327836,0.20474472
-5.96398199,2.51263368,0.35463639,1.83147011,0.00153637,0.15862956,0.01563597,0.19168583,0.41893033,0.19745876
-5.95797899,2.49289823,0.34634790,1.82839461,0.00150317,0.15436455,0.01489371,0.18776486,0.40563570,0.19042772
-5.95197599,2.46979173,0.33844649,1.82162151,0.00146953,0.15017927,0.01416341,0.18389131,0.39324220,0.18365595
-5.94597299,2.44282744,0.33088780,1.81075020,0.00143556,0.14604734,0.01344942,0.18005779,0.38158118,0.17713975
-5.93996998,2.41157903,0.32361664,1.79544890,0.00140145,0.14193915,0.01275526,0.17625506,0.37047745,0.17086946
-5.93396698,2.37571177,0.31657231,1.77547659,0.00136750,0.13782434,0.01208374,0.17247422,0.35975885,0.16483174
-5.92796398,2.33501040,0.30969407,1.75070186,0.00133414,0.13367414,0.01143711,0.16870883,0.34926525,0.15901181
-5.92196098,2.28940216,0.30292613,1.72111751,0.00130193,0.12946379,0.01081723,0.16495688,0.33885659,0.15339579
-5.91595798,2.23897360,0.29622214,1.68685024,0.00127160,0.12517459,0.01022580,0.16122233,0.32841961,0.14797265
