energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,0.19225362,0.00617284,0.00000000,0.00101337,0.05723041,0.15454279,0.04394045
-5.99399700,0.16466263,0.00528713,0.00000000,0.00086797,0.04901873,0.13236563,0.03763452
-5.98799400,0.14001951,0.00449599,0.00000000,0.00073809,0.04168383,0.11255728,0.03200229
-5.98199100,0.11821007,0.00379578,0.00000000,0.00062314,0.03519196,0.09502623,0.02701767
-5.97598799,0.09908145,0.00318161,0.00000000,0.00052232,0.02949779,0.07964979,0.02264574
-5.96998499,0.08245211,0.00264767,0.00000000,0.00043466,0.02454740,0.06628218,0.01884501
-5.96398199,0.06812123,0.00218751,0.00000000,0.00035912,0.02028111,0.05476205,0.01556961
-5.95797899,0.05587714,0.00179435,0.00000000,0.00029457,0.01663596,0.04491932,0.01277114
-5.95197599,0.04550475,0.00146128,0.00000000,0.00023989,0.01354797,0.03658114,0.01040046
-5.94597299,0.03679171,0.00118149,0.00000000,0.00019396,0.01095394,0.02957684,0.00840903
-5.93996998,0.02953342,0.00094841,0.00000000,0.00015570,0.00879299,0.02374195,0.00675010
-5.93396698,0.02353683,0.00075584,0.00000000,0.00012408,0.00700766,0.01892132,0.00537953
-5.92796398,0.01862312,0.00059805,0.00000000,0.00009818,0.00554471,0.01497120,0.00425647
-5.92196098,0.01462942,0.00046980,0.00000000,0.00007713,0.00435567,0.01176067,0.00334368
-5.91595798,0.01140965,0.00036640,0.00000000,0.00006015,0.00339705,0.00917228,0.00260777
-5.90995498,0.00883461,0.00028371,0.00000000,0.00004658,0.00263037,0.00710220,0.00201922
-5.90395198,0.00679161,0.00021810,0.00000000,0.00003581,0.00202211,0.00545982,0.00155228
-5.89794897,0.00518356,0.00016646,0.00000000,0.00002733,0.00154333,0.00416710,0.00118475
-5.89194597,0.00392784,0.00012614,0.00000000,0.00002071,0.00116946,0.00315762,0.00089774
-5.88594297,0.00295494,0.00009489,0.00000000,0.00001558,0.00087980,0.00237550,0.00067538
-5.87993997,0.00220706,0.00007088,0.00000000,0.00001164,0.00065712,0.00177428,0.00050444
-5.87393697,0.00163663,0.00005256,0.00000000,0.00000863,0.00048729,0.00131570,0.00037407
-5.86793397,0.00120491,0.00003869,0.00000000,0.00000635,0.00035875,0.00096864,0.00027539
-5.86193097,0.00088071,0.00002828,0.00000000,0.00000464,0.00026222,0.00070801,0.00020129
-5.85592796,0.00063911,0.00002052,0.00000000,0.00000337,0.00019029,0.00051379,0.00014607
-5.84992496,0.00046046,0.00001479,0.00000000,0.00000243,0.00013710,0.00037017,0.00010524
-5.84392196,0.00032937,0.00001058,0.00000000,0.00000174,0.00009806,0.00026478,0.00007528
-5.83791896,0.00023390,0.00000751,0.00000000,0.00000123,0.00006964,0.00018804,0.00005346
-5.83191596,0.00016491,0.00000530,0.00000000,0.00000087,0.00004910,0.00013258,0.00003769
-5.82591296,0.00011544,0.00000371,0.00000000,0.00000061,0.00003437,0.00009280,0.00002638
-5.81990995,0.00008023,0.00000258,0.00000000,0.00000042,0.00002389,0.00006450,0.00001834
-5.81390695,0.00005535,0.00000178,0.00000000,0.00000029,0.00001648,0.00004450,0.00001265
-5.80790395,0.00003792,0.00000122,0.00000000,0.00000020,0.00001129,0.00003048,0.00000867
-5.80190095,0.00002579,0.00000083,0.00000000,0.00000014,0.00000768,0.00002073,0.00000589
-5.79589795,0.00001741,0.00000056,0.00000000,0.00000009,0.00000518,0.00001400,0.00000398
-5.78989495,0.00001167,0.00000037,0.00000000,0.00000006,0.00000348,0.00000938,0.00000267
-5.78389195,0.00000777,0.00000025,0.00000000,0.00000004,0.00000231,0.00000625,0.00000178
-5.77788894,0.00000513,0.00000016,0.00000000,0.00000003,0.00000153,0.00000413,0.00000117
-5.77188594,0.00000337,0.00000011,0.00000000,0.00000002,0.00000100,0.00000271,0.00000077
-5.76588294,0.00000219,0.00000007,0.00000000,0.00000001,0.00000065,0.00000176,0.00000050
-5.75987994,0.00000142,0.00000005,0.00000000,0.00000001,0.00000042,0.00000114,0.00000032
-5.75387694,0.00000091,0.00000003,0.00000000,0.00000000,0.00000027,0.00000073,0.00000021
-5.74787394,0.00000058,0.00000002,0.00000000,0.00000000,0.00000017,0.00000047,0.00000013
