energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.98882175,0.00726449,0.45417129,1.04075720,1.46696072,0.01577823,1.91327374,0.78062816,0.29262218
-5.99399700,3.85681877,0.00687310,0.43709318,1.01953116,1.41602308,0.01470780,1.85517992,0.75498136,0.28362852
-5.98799400,3.72516354,0.00651209,0.41960998,0.99757086,1.36485848,0.01364792,1.79787526,0.73014038,0.27487743
-5.98199100,3.59549117,0.00618560,0.40195119,0.97528173,1.31404818,0.01261128,1.74204204,0.70647949,0.26650441
-5.97598799,3.46937573,0.00589798,0.38436496,0.95308490,1.26413905,0.01160955,1.68831257,0.68435955,0.25863888
-5.96998499,3.34831013,0.00565369,0.36711244,0.93141229,1.21563644,0.01065323,1.63726554,0.66412504,0.25140216
-5.96398199,3.23368913,0.00545718,0.35046151,0.91070115,1.16899893,0.00975157,1.58942433,0.64610153,0.24490571
-5.95797899,3.12679504,0.00531281,0.33468017,0.89138806,1.12463479,0.00891247,1.54525699,0.63059326,0.23924947
-5.95197599,3.02878580,0.00522467,0.32002979,0.87390219,1.08289997,0.00814254,1.50517711,0.61788070,0.23452041
-5.94597299,2.94068505,0.00519652,0.30675833,0.85865799,1.04409757,0.00744703,1.46954541,0.60821792,0.23079115
-5.93996998,2.86337369,0.00523159,0.29509378,0.84604723,1.00847839,0.00682994,1.43867122,0.60182959,0.22811879
-5.93396698,2.79758248,0.00533249,0.28523790,0.83643047,0.97624243,0.00629402,1.41281346,0.59890755,0.22654384
-5.92796398,2.74388544,0.00550107,0.27736054,0.83012819,0.94754113,0.00584086,1.39218092,0.59960679,0.22608934
-5.92196098,2.70269367,0.00573826,0.27159461,0.82741158,0.92248002,0.00547096,1.37693122,0.60404098,0.22676007
-5.91595798,2.67424962,0.00604399,0.26803181,0.82849343,0.90112160,0.00518378,1.36716861,0.61227753,0.22854206
-5.90995498,2.65862180,0.00641705,0.26671931,0.83351921,0.88348840,0.00497783,1.36294042,0.62433235,0.23140223
-5.90395198,2.65570004,0.00685501,0.26765745,0.84255872,0.86956585,0.00485071,1.36423242,0.64016453,0.23528836
-5.89794897,2.66519173,0.00735414,0.27079845,0.85559874,0.85930512,0.00479920,1.37096318,0.65967131,0.24012933
-5.89194597,2.68661940,0.00790937,0.27604629,0.87253684,0.85262555,0.00481925,1.38297817,0.68268346,0.24583572
-5.88594297,2.71932019,0.00851427,0.28325777,0.89317702,0.84941698,0.00490607,1.40004373,0.70896171,0.25230073
