energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.77283096,0.02439586,0.03298441,1.94334278,0.53426237,0.02470339,1.77390068,0.84121049,0.29250023
-5.99399700,2.78091996,0.02467872,0.03315383,1.94243521,0.54007795,0.02539036,1.77881008,0.84467042,0.29151786
-5.98799400,2.78103014,0.02483467,0.03329297,1.93622882,0.54352604,0.02603018,1.77869335,0.84610157,0.28983022
-5.98199100,2.77324629,0.02486059,0.03340049,1.92481466,0.54454283,0.02661966,1.77361444,0.84549059,0.28748033
-5.97598799,2.75775500,0.02475569,0.03347436,1.90833126,0.54310674,0.02715720,1.76369949,0.84283884,0.28451897
-5.96998499,2.73484419,0.02452157,0.03351201,1.88696499,0.53923958,0.02764272,1.74913631,0.83816331,0.28100407
-5.96398199,2.70489929,0.02416213,0.03351041,1.86094938,0.53300631,0.02807769,1.73017196,0.83149717,0.27699985
-5.95797899,2.66839598,0.02368346,0.03346623,1.83056309,0.52451328,0.02846499,1.70710805,0.82288998,0.27257571
-5.95197599,2.62588941,0.02309369,0.03337601,1.79612649,0.51390507,0.02880867,1.68029407,0.81240732,0.26780482
-5.94597299,2.57800030,0.02240266,0.03323629,1.75799676,0.50136010,0.02911372,1.65011874,0.80012997,0.26276247
-5.93996998,2.52539821,0.02162172,0.03304380,1.71656162,0.48708505,0.02938569,1.61699975,0.78615265,0.25752420
-5.93396698,2.46878285,0.02076329,0.03279553,1.67223189,0.47130853,0.02963030,1.58137219,0.77058227,0.25216381
-5.92796398,2.40886405,0.01984056,0.03248890,1.62543316,0.45427414,0.02985306,1.54367633,0.75353592,0.24675120
-5.92196098,2.34634150,0.01886712,0.03212178,1.57659681,0.43623332,0.03005884,1.50434522,0.73513859,0.24135035
-5.91595798,2.28188517,0.01785657,0.03169261,1.52615099,0.41743824,0.03025147,1.46379270,0.71552087,0.23601736
-5.90995498,2.21611733,0.01682221,0.03120041,1.47451179,0.39813512,0.03043343,1.42240252,0.69481660,0.23079870
-5.90395198,2.14959720,0.01577672,0.03064482,1.42207510,0.37855812,0.03060554,1.38051900,0.67316081,0.22572981
-5.89794897,2.08280878,0.01473190,0.03002609,1.36920955,0.35892420,0.03076683,1.33843975,0.65068781,0.22083410
-5.89194597,2.01615260,0.01369847,0.02934511,1.31625089,0.33942890,0.03091440,1.29641079,0.62752976,0.21612241
-5.88594297,1.94994170,0.01268591,0.02860336,1.26349794,0.32024342,0.03104349,1.25462421,0.60381556,0.21159300
-5.87993997,1.88440184,0.01170235,0.02780299,1.21121034,0.30151275,0.03114758,1.21321860,0.57967020,0.20723207
-5.87393697,1.81967594,0.01075456,0.02694669,1.15960824,0.28335506,0.03121863,1.17228196,0.55521455,0.20301479
-5.86793397,1.75583236,0.00984789,0.02603782,1.10887362,0.26586216,0.03124743,1.13185702,0.53056554,0.19890688
-5.86193097,1.69287637,0.00898642,0.02508030,1.05915335,0.24910093,0.03122398,1.09194853,0.50583653,0.19486653
-5.85592796,1.63076420,0.00817294,0.02407863,1.01056356,0.23311550,0.03113794,1.05253210,0.48113805,0.19084670
-5.84992496,1.56941871,0.00740915,0.02303791,0.96319514,0.21793011,0.03097913,1.01356408,0.45657850,0.18679770
-5.84392196,1.50874586,0.00669573,0.02196375,0.91711979,0.20355233,0.03073803,0.97499179,0.43226492,0.18266976
-5.83791896,1.44865097,0.00603254,0.02086227,0.87239653,0.18997641,0.03040626,0.93676373,0.40830361,0.17841571
-5.83191596,1.38905394,0.00541872,0.01974005,0.82907792,0.17718678,0.02997698,0.89883901,0.38480054,0.17399346
-5.82591296,1.32990265,0.00485288,0.01860401,0.78721588,0.16516119,0.02944528,0.86119559,0.36186148,0.16936822
-5.81990995,1.27118370,0.00433318,0.01746138,0.74686654,0.15387368,0.02880849,0.82383693,0.33959170,0.16451440
-5.81390695,1.21293027,0.00385750,0.01631955,0.70809399,0.14329702,0.02806632,0.78679663,0.31809542,0.15941697
-5.80790395,1.15522645,0.00342352,0.01518595,0.67097255,0.13340470,0.02722101,0.75014097,0.29747470,0.15407246
-5.80190095,1.09820816,0.00302880,0.01406794,0.63558754,0.12417229,0.02627726,0.71396913,0.27782809,0.14848921
-5.79589795,1.04206049,0.00267088,0.01297265,0.60203437,0.11557835,0.02524219,0.67841122,0.25924882,0.14268726
-5.78989495,0.98701190,0.00234728,0.01190686,0.57041617,0.10760472,0.02412505,0.64362422,0.24182285,0.13669753
-5.78389195,0.93332546,0.00205562,0.01087684,0.54083979,0.10023636,0.02293700,0.60978607,0.22562661,0.13056064
-5.77788894,0.88128787,0.00179355,0.00988826,0.51341077,0.09346084,0.02169074,0.57708825,0.21072476,0.12432517
-5.77188594,0.83119666,0.00155885,0.00894605,0.48822722,0.08726738,0.02040008,0.54572732,0.19716790,0.11804573
