energy_ev,total_up,Bi_p_up,Bi_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.09130619,0.15558596,0.00147516,1.46370676,1.01231703,0.00532129,1.38532183
-5.99399700,2.09288976,0.15992729,0.00147578,1.45686323,1.01456863,0.00514668,1.38427307
-5.98799400,2.08907819,0.16389270,0.00147456,1.44707641,1.01356918,0.00497915,1.37936596
-5.98199100,2.07994110,0.16743223,0.00147120,1.43449880,1.00936358,0.00482125,1.37068530
-5.97598799,2.06564930,0.17050991,0.00146544,1.41933015,1.00205128,0.00467540,1.35838061
-5.96998499,2.04647782,0.17310635,0.00145714,1.40181871,0.99178573,0.00454388,1.34266586
-5.96398199,2.02280585,0.17522062,0.00144620,1.38226053,0.97877232,0.00442891,1.32381724
-5.95797899,1.99511288,0.17687140,0.00143264,1.36099685,0.96326467,0.00433264,1.30216901
-5.95197599,1.96397114,0.17809722,0.00141658,1.33840916,0.94555933,0.00425717,1.27810721
-5.94597299,1.93003416,0.17895576,0.00139824,1.31491206,0.92598899,0.00420459,1.25206151
-5.93996998,1.89402182,0.17952223,0.00137796,1.29094409,0.90491444,0.00417699,1.22449530
-5.93396698,1.85670227,0.17988690,0.00135617,1.26695678,0.88271551,0.00417643,1.19589432
-5.92796398,1.81887151,0.18015181,0.00133340,1.24340238,0.85978134,0.00420493,1.16675442
-5.92196098,1.78133137,0.18042691,0.00131026,1.22072095,0.83650039,0.00426446,1.13756867
-5.91595798,1.74486690,0.18082582,0.00128742,1.19932723,0.81325056,0.00435686,1.10881462
-5.90995498,1.71022426,0.18146132,0.00126562,1.17959826,0.79038983,0.00448381,1.08094208
-5.90395198,1.67809001,0.18244098,0.00124561,1.16186222,0.76824787,0.00464674,1.05436203
-5.89794897,1.64907284,0.18386295,0.00122816,1.14638925,0.74711881,0.00484678,1.02943715
-5.89194597,1.62368856,0.18581239,0.00121403,1.13338479,0.72725558,0.00508465,1.00647423
-5.88594297,1.60234901,0.18835843,0.00120397,1.12298568,0.70886595,0.00536059,0.98571897
-5.87993997,1.58535524,0.19155211,0.00119867,1.11525956,0.69211034,0.00567429,0.96735306
-5.87393697,1.57289533,0.19542513,0.00119875,1.11020731,0.67710140,0.00602483,0.95149386
-5.86793397,1.56504661,0.19998963,0.00120480,1.10776862,0.66390536,0.00641058,0.93819631
-5.86193097,1.56178220,0.20523893,0.00121728,1.10783022,0.65254486,0.00682923,0.92745713
-5.85592796,1.56298111,0.21114914,0.00123659,1.11023638,0.64300312,0.00727771,0.91922076
-5.84992496,1.56844148,0.21768148,0.00126305,1.11480101,0.63522916,0.00775220,0.91338680
-5.84392196,1.57789596,0.22478525,0.00129685,1.12132070,0.62914366,0.00824820,0.90981858
-5.83791896,1.59102841,0.23240111,0.00133810,1.12958783,0.62464525,0.00876052,0.90835211
-5.83191596,1.60749091,0.24046450,0.00138682,1.13940313,0.62161690,0.00928342,0.90880534
-5.82591296,1.62692032,0.24890902,0.00144294,1.15058685,0.61993206,0.00981065,0.91098700
-5.81990995,1.64895340,0.25766941,0.00150628,1.16298801,0.61946029,0.01033561,0.91470476
-5.81390695,1.67323991,0.26668410,0.00157660,1.17649112,0.62007228,0.01085150,0.91977245
-5.80790395,1.69945296,0.27589706,0.00165354,1.19102015,0.62164395,0.01135145,0.92601596
-5.80190095,1.72729648,0.28525879,0.00173671,1.20653947,0.62405966,0.01182871,0.93327775
-5.79589795,1.75650935,0.29472659,0.00182558,1.22305175,0.62721437,0.01227681,0.94141987
-5.78989495,1.78686634,0.30426389,0.00191958,1.24059307,0.63101486,0.01268973,0.95032547
-5.78389195,1.81817588,0.31383892,0.00201806,1.25922550,0.63537988,0.01306205,0.95989877
-5.77788894,1.85027518,0.32342257,0.00212028,1.27902760,0.64023950,0.01338911,0.97006380
-5.77188594,1.88302293,0.33298594,0.00222543,1.30008340,0.64553367,0.01366714,0.98076179
-5.76588294,1.91629035,0.34249747,0.00233263,1.32247055,0.65121009,0.01389331,0.99194770
-5.75987994,1.94995101,0.35192011,0.00244090,1.34624822,0.65722161,0.01406583,1.00358581
-5.75387694,1.98387038,0.36120862,0.00254922,1.37144549,0.66352328,0.01418396,1.01564495
-5.74787394,2.01789551,0.37030730,0.00265650,1.39805083,0.67006926,0.01424802,1.02809324
-5.74187094,2.05184574,0.37914830,0.00276156,1.42600327,0.67680973,0.01425932,1.04089300
-5.73586793,2.08550493,0.38765077,0.00286322,1.45518566,0.68368794,0.01422008,1.05399571
-5.72986493,2.11861569,0.39572086,0.00296024,1.48542059,0.69063767,0.01413338,1.06733759
-5.72386193,2.15087622,0.40325264,0.00305135,1.51646895,0.69758113,0.01400294,1.08083576
-5.71785893,2.18193975,0.41013011,0.00313530,1.54803147,0.70442753,0.01383305,1.09438540
-5.71185593,2.21141708,0.41622998,0.00321088,1.57975311,0.71107232,0.01362835,1.10785791
-5.70585293,2.23888184,0.42142530,0.00327689,1.61123016,0.71739732,0.01339372,1.12110029
-5.69984992,2.26387860,0.42558974,0.00333226,1.64201973,0.72327166,0.01313404,1.13393581
-5.69384692,2.28593346,0.42860220,0.00337600,1.67165131,0.72855353,0.01285414,1.14616594
-5.68784392,2.30456658,0.43035170,0.00340725,1.69963984,0.73309291,0.01255856,1.15757363
-5.68184092,2.31930624,0.43074210,0.00342535,1.72549974,0.73673483,0.01225152,1.16792767
-5.67583792,2.32970379,0.42969654,0.00342980,1.74875932,0.73932345,0.01193678,1.17698819
-5.66983492,2.33534876,0.42716135,0.00342033,1.76897490,0.74070647,0.01161760,1.18451296
-5.66383192,2.33588348,0.42310910,0.00339691,1.78574408,0.74073993,0.01129670,1.19026425
-5.65782891,2.33101655,0.41754081,0.00335973,1.79871759,0.73929302,0.01097625,1.19401613
-5.65182591,2.32053446,0.41048700,0.00330925,1.80760909,0.73625283,0.01065789,1.19556166
-5.64582291,2.30431086,0.40200769,0.00324616,1.81220280,0.73152871,0.01034279,1.19471993
-5.63981991,2.28231306,0.39219122,0.00317139,1.81235836,0.72505606,0.01003166,1.19134240
-5.63381691,2.25460539,0.38115199,0.00308607,1.80801290,0.71679950,0.00972488,1.18531850
-5.62781391,2.22134924,0.36902723,0.00299153,1.79918040,0.70675500,0.00942254,1.17657996
-5.62181091,2.18279990,0.35597290,0.00288926,1.78594818,0.69495114,0.00912454,1.16510399
-5.61580790,2.13930012,0.34215900,0.00278084,1.76847104,0.68144922,0.00883067,1.15091485
-5.60980490,2.09127081,0.32776443,0.00266795,1.74696318,0.66634231,0.00854067,1.13408395
-5.60380190,2.03919931,0.31297161,0.00255228,1.72168850,0.64975319,0.00825433,1.11472832
-5.59779890,1.98362557,0.29796122,0.00243552,1.69294974,0.63183138,0.00797151,1.09300764
-5.59179590,1.92512699,0.28290714,0.00231927,1.66107701,0.61274915,0.00769219,1.06911975
-5.58579290,1.86430246,0.26797190,0.00220506,1.62641631,0.59269695,0.00741652,1.04329509
-5.57978989,1.80175629,0.25330276,0.00209425,1.58931858,0.57187820,0.00714478,1.01578999
-5.57378689,1.73808274,0.23902853,0.00198805,1.55012981,0.55050380,0.00687743,0.98687944
-5.56778389,1.67385153,0.22525738,0.00188746,1.50918264,0.52878654,0.00661505,0.95684935
-5.56178089,1.60959523,0.21207542,0.00179326,1.46678977,0.50693560,0.00635835,0.92598879
-5.55577789,1.54579866,0.19954630,0.00170601,1.42323941,0.48515146,0.00610811,0.89458258
-5.54977489,1.48289083,0.18771168,0.00162606,1.37879297,0.46362124,0.00586516,0.86290445
-5.54377189,1.42123961,0.17659249,0.00155351,1.33368478,0.44251495,0.00563034,0.83121106
-5.53776888,1.36114924,0.16619085,0.00148828,1.28812401,0.42198239,0.00540448,0.79973728
-5.53176588,1.30286073,0.15649261,0.00143010,1.24229828,0.40215119,0.00518836,0.76869270
-5.52576288,1.24655486,0.14747022,0.00137853,1.19637887,0.38312576,0.00498270,0.73825965
-5.51975988,1.19235771,0.13908593,0.00133303,1.15052694,0.36498735,0.00478814,0.70859277
-5.51375688,1.14034829,0.13129501,0.00129294,1.10490056,0.34779500,0.00460530,0.67981994
-5.50775388,1.09056779,0.12404896,0.00125756,1.05966189,0.33158743,0.00443474,0.65204470
-5.50175088,1.04303004,0.11729856,0.00122617,1.01498426,0.31638574,0.00427701,0.62534973
-5.49574787,0.99773263,0.11099655,0.00119806,0.97105853,0.30219657,0.00413273,0.59980136
-5.48974487,0.95466807,0.10510004,0.00117258,0.92809851,0.28901581,0.00400260,0.57545465
-5.48374187,0.91383449,0.09957239,0.00114915,0.88634505,0.27683238,0.00388747,0.55235881
-5.47773887,0.87524548,0.09438470,0.00112730,0.84606854,0.26563207,0.00378843,0.53056267
-5.47173587,0.83893833,0.08951678,0.00110669,0.80756972,0.25540112,0.00370684,0.51011967
-5.46573287,0.80498070,0.08495763,0.00108711,0.77117863,0.24612944,0.00364440,0.49109230
-5.45972986,0.77347502,0.08070556,0.00106852,0.73725169,0.23781321,0.00360322,0.47355559
-5.45372686,0.74456078,0.07676783,0.00105101,0.70616709,0.23045684,0.00358583,0.45759949
-5.44772386,0.71841445,0.07315997,0.00103485,0.67831849,0.22407420,0.00359521,0.44332999
-5.44172086,0.69524709,0.06990487,0.00102041,0.65410734,0.21868901,0.00363482,0.43086892
