energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,4.95614221,0.02372209,1.20788203,0.00577639,2.40443257,1.38669827,0.96548895,1.82057602,0.90104827
-5.99399700,5.19181586,0.02480207,1.25593395,0.00621434,2.52892424,1.45436455,1.00649865,1.92464586,0.94269185
-5.98799400,5.42188416,0.02575670,1.30074875,0.00666137,2.65259857,1.51937394,1.04543289,2.02860728,0.98384926
-5.98199100,5.64502035,0.02656801,1.34165280,0.00711639,2.77519041,1.58106083,1.08196724,2.13202066,1.02432851
-5.97598799,5.86008818,0.02722043,1.37801247,0.00757890,2.89654188,1.63877135,1.11578874,2.23450069,1.06397904
-5.96998499,6.06615273,0.02770135,1.40924913,0.00804907,3.01659566,1.69187493,1.14659692,2.33571605,1.10269178
-5.96398199,6.26248387,0.02800150,1.43485321,0.00852775,3.13538303,1.73977604,1.17410506,2.43538586,1.14039795
-5.95797899,6.44855160,0.02811529,1.45439700,0.00901646,3.25300672,1.78192581,1.19804204,2.53327317,1.17706618
-5.95197599,6.62401334,0.02804098,1.46754561,0.00951735,3.36961900,1.81783310,1.21815485,2.62917539,1.21269798
-5.94597299,6.78869345,0.02778074,1.47406554,0.01003310,3.48539546,1.84707484,1.23421197,2.72291232,1.24732168
-5.93996998,6.94255543,0.02734061,1.47383079,0.01056685,3.60050560,1.86930520,1.24600755,2.81431219,1.28098475
-5.93396698,7.08566830,0.02673030,1.46682596,0.01112194,3.71508129,1.88426352,1.25336643,2.90319648,1.31374490
-5.92796398,7.21816841,0.02596282,1.45314645,0.01170184,3.82918456,1.89178054,1.25614989,2.98936436,1.34566004
-5.92196098,7.34021886,0.02505411,1.43299568,0.01230982,3.94277638,1.89178299,1.25426174,3.07257779,1.37677774
-5.91595798,7.45196852,0.02402251,1.40667940,0.01294882,4.05568810,1.88429636,1.24765460,3.15254828,1.40712452
-5.90995498,7.55351325,0.02288815,1.37459751,0.01362116,4.16759728,1.86944578,1.23633598,3.22892625,1.43669558
-5.90395198,7.64486166,0.02167240,1.33723352,0.01432839,4.27800982,1.84745505,1.22037360,3.30129415,1.46544559
-5.89794897,7.72590776,0.02039718,1.29514234,0.01507107,4.38624963,1.81864396,1.19989981,3.36916395,1.49328106
-5.89194597,7.79641268,0.01908438,1.24893667,0.01584863,4.49145737,1.78342390,1.17511435,3.43197987,1.52005508
-5.88594297,7.85599703,0.01775526,1.19927262,0.01665934,4.59259902,1.74229206,1.14628552,3.48912663,1.54556460
-5.87993997,7.90414527,0.01643000,1.14683509,0.01750024,4.68848479,1.69582423,1.11374903,3.53994334,1.56955105
-5.87393697,7.94022239,0.01512716,1.09232334,0.01836719,4.77779826,1.64466660,1.07790480,3.58374300,1.59170427
-5.86793397,7.96350285,0.01386340,1.03643726,0.01925503,4.85913516,1.58952654,1.03921129,3.61983680,1.61166991
-5.86193097,7.97321064,0.01265322,0.97986467,0.02015769,4.93105050,1.53116274,0.99817764,3.64756261,1.62906030
-5.85592796,7.96856891,0.01150874,0.92326992,0.02106849,4.99211245,1.47037474,0.95535378,3.66631630,1.64346829
-5.84992496,7.94885656,0.01043969,0.86728409,0.02198038,5.04096056,1.40799211,0.91131867,3.67558450,1.65448379
-5.84392196,7.91346886,0.00945338,0.81249677,0.02288627,5.07636579,1.34486331,0.86666732,3.67497727,1.66171200
-5.83791896,7.86197868,0.00855481,0.75944950,0.02377933,5.09728955,1.28184443,0.82199682,3.66425868,1.66479280
-5.83191596,7.79419471,0.00774684,0.70863089,0.02465330,5.10293861,1.21978784,0.77789213,3.64337378,1.66342017
-5.82591296,7.71021296,0.00703036,0.66047314,0.02550281,5.09281316,1.15953075,0.73491202,3.61247025,1.65736064
-5.81990995,7.61045828,0.00640455,0.61534997,0.02632359,5.06674530,1.10188393,0.69357581,3.57191311,1.64646986
-5.81390695,7.49571286,0.00586716,0.57357566,0.02711267,5.02492566,1.04762042,0.65435144,3.52229151,1.63070635
-5.80790395,7.36712961,0.00541472,0.53540501,0.02786848,4.96791660,0.99746443,0.61764516,3.46441667,1.61014161
-5.80190095,7.22622886,0.00504288,0.50103410,0.02859092,4.89665090,0.95208050,0.58379346,3.39931072,1.58496598
-5.79589795,7.07487803,0.00474663,0.47060157,0.02928132,4.81241568,0.91206297,0.55305730,3.32818643,1.55548998
-5.78989495,6.91525475,0.00452054,0.44419039,0.02994235,4.71682207,0.87792596,0.52561881,3.25241860,1.52214085
-5.78389195,6.74979489,0.00435897,0.42182984,0.03057784,4.61176191,0.85009400,0.50158069,3.17350807,1.48545456
-5.77788894,6.58112802,0.00425630,0.40349788,0.03119263,4.49935341,0.82889355,0.48096805,3.09303983,1.44606349
-5.77188594,6.41200315,0.00420706,0.38912360,0.03179227,4.38187826,0.81454562,0.46373260,3.01263718,1.40468068
-5.76588294,6.24520871,0.00420605,0.37859005,0.03238286,4.26171308,0.80715989,0.44975896,2.93391378,1.36208101
-5.75987994,6.08349044,0.00424852,0.37173720,0.03297073,4.14125851,0.80673046,0.43887279,2.85842591,1.31908059
-5.75387694,5.92947142,0.00433018,0.36836532,0.03356228,4.02286895,0.81313366,0.43085029,2.78762703,1.27651508
-5.74787394,5.78557787,0.00444733,0.36823874,0.03416378,3.90878613,0.82612823,0.42542874,2.72282663,1.23521798
-5.74187094,5.65397414,0.00459686,0.37109002,0.03478121,3.80107928,0.84535800,0.42231764,2.66515508,1.19599983
-5.73586793,5.53650969,0.00477632,0.37662468,0.03542018,3.70159407,0.87035740,0.42121005,2.61553607,1.15962896
-5.72986493,5.43467981,0.00498389,0.38452646,0.03608585,3.61191212,0.90055985,0.42179365,2.57466734,1.12681455
-5.72386193,5.34960140,0.00521835,0.39446308,0.03678293,3.53332215,0.93530904,0.42376129,2.54301048,1.09819241
-5.71785893,5.28200376,0.00547912,0.40609246,0.03751565,3.46680304,0.97387306,0.42682061,2.52078968,1.07431360
-5.71185593,5.23223382,0.00576614,0.41906937,0.03828781,3.41301863,1.01546106,0.43070241,2.50799905,1.05563617
-5.70585293,5.20027428,0.00607980,0.43305227,0.03910273,3.37232343,1.05924210,0.43516769,2.50441767,1.04251960
-5.69984992,5.18577272,0.00642087,0.44771027,0.03996330,3.34477781,1.10436576,0.44001306,2.50963118,1.03522200
-5.69384692,5.18807896,0.00679038,0.46272988,0.04087189,3.33017101,1.14998374,0.44507449,2.52305840,1.03389951
-5.68784392,5.20628818,0.00718947,0.47782146,0.04183027,3.32805010,1.19527189,0.45022926,2.54398149,1.03860749
-5.68184092,5.23928679,0.00761923,0.49272504,0.04283951,3.33775284,1.23945170,0.45539630,2.57157788,1.04930331
-5.67583792,5.28579865,0.00808058,0.50721523,0.04389977,3.35844248,1.28181067,0.46053473,2.60495247,1.06585008
-5.66983492,5.34442920,0.00857409,0.52110517,0.04501012,3.38914288,1.32172046,0.46564097,2.64316861,1.08802130
-5.66383192,5.41370585,0.00909983,0.53424911,0.04616827,3.42877231,1.35865227,0.47074436,2.68527660,1.11550601
-5.65782891,5.49211318,0.00965720,0.54654369,0.04737041,3.47617492,1.39218876,0.47590173,2.73033893,1.14791454
-5.65182591,5.57812245,0.01024487,0.55792769,0.04861094,3.53014902,1.42203181,0.48119091,2.77745132,1.18478474
-5.64582291,5.67021511,0.01086066,0.56838033,0.04988232,3.58947191,1.44800604,0.48670371,2.82575965,1.22558883
-5.63981991,5.76690078,0.01150154,0.57791807,0.05117500,3.65292101,1.47005763,0.49253844,2.87447232,1.26974100
-5.63381691,5.86673044,0.01216358,0.58659019,0.05247743,3.71929171,1.48824869,0.49879246,2.92286861,1.31660603
-5.62781391,5.96830578,0.01284210,0.59447320,0.05377616,3.78741213,1.50274735,0.50555494,2.97030328,1.36550893
-5.62181091,6.07028606,0.01353177,0.60166436,0.05505614,3.85615553,1.51381404,0.51290022,3.01620802,1.41574583
-5.61580790,6.17139344,0.01422681,0.60827467,0.05630107,3.92445078,1.52178457,0.52088197,3.06009041,1.46659618
-5.60980490,6.27041799,0.01492126,0.61442160,0.05749396,3.99129140,1.52705082,0.52952846,3.10153100,1.51733596
-5.60380190,6.36622315,0.01560929,0.62022193,0.05861779,4.05574370,1.53003993,0.53883903,3.14017917,1.56725194
-5.59779890,6.45775214,0.01628555,0.62578497,0.05965623,4.11695404,1.53119298,0.54878207,3.17574816,1.61565647
-5.59179590,6.54403549,0.01694557,0.63120660,0.06059448,4.17415549,1.53094401,0.55929438,3.20800976,1.66190239
-5.58579290,6.62419971,0.01758615,0.63656427,0.06142011,4.22667359,1.52970044,0.57028210,3.23678886,1.70539751
-5.57978989,6.69747638,0.01820578,0.64191327,0.06212392,4.27393113,1.52782566,0.58162299,3.26195808,1.74561798
-5.57378689,6.76321116,0.01880493,0.64728443,0.06270070,4.31545148,1.52562452,0.59317009,3.28343233,1.78212006
-5.56778389,6.82087196,0.01938646,0.65268318,0.06314993,4.35086008,1.52333224,0.60475642,3.30116353,1.81454948
-5.56178089,6.87005507,0.01995577,0.65809021,0.06347632,4.37988387,1.52110714,0.61620059,3.31513515,1.84264806
-5.55577789,6.91048881,0.02052102,0.66346342,0.06369011,4.40234810,1.51902732,0.62731297,3.32535674,1.86625703
-5.54977489,6.94203375,0.02109310,0.66874108,0.06380728,4.41817073,1.51709122,0.63790215,3.33185825,1.88531703
-5.54377189,6.96467905,0.02168558,0.67384608,0.06384936,4.42735411,1.51522187,0.64778140,3.33468430,1.89986444
-5.53776888,6.97853494,0.02231447,0.67869080,0.06384315,4.42997444,1.51327439,0.65677469,3.33388845,1.91002448
-5.53176588,6.98382117,0.02299782,0.68318242,0.06382003,4.42616932,1.51104612,0.66472223,3.32952768,1.91600125
-5.52576288,6.98085209,0.02375525,0.68722831,0.06381519,4.41612405,1.50828883,0.67148503,3.32165743,1.91806526
-5.51975988,6.97001889,0.02460730,0.69074118,0.06386652,4.40005746,1.50472216,0.67694850,3.31032740,1.91653909
-5.51375688,6.95177000,0.02557461,0.69364361,0.06401339,4.37820810,1.50004768,0.68102482,3.29557854,1.91178204
-5.50775388,6.92659066,0.02667716,0.69587185,0.06429523,4.35082163,1.49396269,0.68365417,3.27744151,1.90417439
-5.50175088,6.89498279,0.02793324,0.69737852,0.06475011,4.31814030,1.48617321,0.68480464,3.25593681,1.89410226
-5.49574787,6.85744619,0.02935858,0.69813418,0.06541319,4.28039503,1.47640569,0.68447116,3.23107688,1.88194367
-5.48974487,6.81446207,0.03096531,0.69812769,0.06631529,4.23780082,1.46441677,0.68267330,3.20287000,1.86805652
-5.48374187,6.76647980,0.03276112,0.69736534,0.06748144,4.19055546,1.45000108,0.67945240,3.17132600,1.85276896
-5.47773887,6.71390715,0.03474838,0.69586895,0.06892971,4.13884176,1.43299679,0.67486805,3.13646352,1.83637244
-5.47173587,6.65710469,0.03692345,0.69367300,0.07067011,4.08283286,1.41328899,0.66899428,3.09831826,1.81911772
-5.46573287,6.59638403,0.03927619,0.69082112,0.07270379,4.02270021,1.39081100,0.66191565,3.05695191,1.80121352
-5.45972986,6.53200987,0.04178959,0.68736213,0.07502259,3.95862338,1.36554395,0.65372349,3.01246095,1.78282797
-5.45372686,6.46420532,0.04443972,0.68334600,0.07760879,3.89080087,1.33751484,0.64451253,2.96498483,1.76409217
-5.44772386,6.39315987,0.04719592,0.67882006,0.08043528,3.81946096,1.30679353,0.63437800,2.91471280,1.74510562
-5.44172086,6.31903924,0.05002119,0.67382559,0.08346605,3.74487152,1.27348903,0.62341339,2.86188879,1.72594285
-5.43571786,6.24199641,0.05287296,0.66839523,0.08665702,3.66734801,1.23774540,0.61170893,2.80681406,1.70666076
-5.42971486,6.16218289,0.05570401,0.66255127,0.08995715,3.58725877,1.19973761,0.59935078,2.74984699,1.68730612
-5.42371186,6.07975971,0.05846370,0.65630502,0.09330994,3.50502712,1.15966762,0.58642088,2.69140011,1.66792269
-5.41770885,5.99490728,0.06109931,0.64965724,0.09665500,3.42112984,1.11776074,0.57299745,2.63193427,1.64855754
-5.41170585,5.90783386,0.06355764,0.64259969,0.09992998,3.33609205,1.07426243,0.55915593,2.57195015,1.62926626
-5.40570285,5.81878222,0.06578652,0.63511763,0.10307247,3.25047865,1.02943550,0.54497024,2.51197751,1.61011686
-5.39969985,5.72803423,0.06773655,0.62719305,0.10602202,3.16488263,0.98355762,0.53051426,2.45256264,1.59119211
-5.39369685,5.63591341,0.06936260,0.61880855,0.10872213,3.07991111,0.93691898,0.51586330,2.39425464,1.57259051
-5.38769385,5.54278546,0.07062531,0.60995143,0.11112204,2.99616969,0.88982002,0.50109543,2.33759116,1.55442576
-5.38169085,5.44905680,0.07149240,0.60061782,0.11317848,2.91424612,0.84256896,0.48629251,2.28308434,1.53682503
