energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.79869505,-0.84932186,0.01715957,-0.01903048,0.23355190,-0.25094035,0.25529046,-0.28094040,0.26632416,-0.27743463,0.02427707,-0.02430931,0.12832242,-0.13643153
-5.99399700,0.78240638,-0.83240017,0.01646400,-0.01842486,0.22756344,-0.24527424,0.24480299,-0.27120027,0.26174324,-0.27332750,0.02470659,-0.02470882,0.12687895,-0.13414796
-5.98799400,0.76790478,-0.81721778,0.01573867,-0.01777326,0.22177957,-0.23978287,0.23430479,-0.26137372,0.25742820,-0.26941452,0.02521806,-0.02519951,0.12614547,-0.13258759
-5.98199100,0.75509846,-0.80363615,0.01499100,-0.01708120,0.21619144,-0.23443928,0.22383194,-0.25146005,0.25337495,-0.26567822,0.02580151,-0.02577185,0.12608874,-0.13171204
-5.97598799,0.74389751,-0.79151664,0.01422909,-0.01635500,0.21079269,-0.22921964,0.21343433,-0.24147246,0.24957784,-0.26210038,0.02644531,-0.02641476,0.12667532,-0.13148054
-5.96998499,0.73421448,-0.78072400,0.01346165,-0.01560180,0.20557881,-0.22410370,0.20317484,-0.23143900,0.24602915,-0.25866234,0.02713619,-0.02711564,0.12787274,-0.13185141
-5.96398199,0.72596469,-0.77112878,0.01269791,-0.01482952,0.20054637,-0.21907476,0.19312804,-0.22140259,0.24271863,-0.25534504,0.02785931,-0.02786034,0.12965078,-0.13278352
-5.95797899,0.71906684,-0.76260923,0.01194748,-0.01404678,0.19569226,-0.21411947,0.18337863,-0.21142059,0.23963318,-0.25212902,0.02859840,-0.02863331,0.13198273,-0.13423769
-5.95197599,0.71344427,-0.75505290,0.01122018,-0.01326280,0.19101311,-0.20922734,0.17401966,-0.20156372,0.23675692,-0.24899433,0.02933597,-0.02941770,0.13484694,-0.13617816
-5.94597299,0.70902736,-0.74835841,0.01052591,-0.01248727,0.18650493,-0.20439033,0.16515092,-0.19191470,0.23407159,-0.24592060,0.03005367,-0.03019562,0.13822832,-0.13857422
-5.93996998,0.70575706,-0.74243782,0.00987454,-0.01173020,0.18216322,-0.19960242,0.15687736,-0.18256669,0.23155762,-0.24288741,0.03073270,-0.03094840,0.14212009,-0.14140185
-5.93396698,0.70358990,-0.73721970,0.00927572,-0.01100180,0.17798356,-0.19485951,0.14930799,-0.17362174,0.22919564,-0.23987492,0.03135434,-0.03165704,0.14652559,-0.14464557
-5.92796398,0.70250420,-0.73265329,0.00873880,-0.01031226,0.17396263,-0.19015959,0.14255512,-0.16518931,0.22696851,-0.23686498,0.03190057,-0.03230265,0.15146007,-0.14830032
-5.92196098,0.70250726,-0.72871357,0.00827272,-0.00967166,0.17009973,-0.18550326,0.13673398,-0.15738512,0.22486390,-0.23384266,0.03235471,-0.03286705,0.15695236,-0.15237332
-5.91595798,0.70364326,-0.72540730,0.00788595,-0.00908982,0.16639869,-0.18089472,0.13196294,-0.15033033,0.22287711,-0.23079810,0.03270216,-0.03333338,0.16304644,-0.15688601
-5.90995498,0.70600116,-0.72277966,0.00758640,-0.00857616,0.16287011,-0.17634306,0.12836401,-0.14415111,0.22101403,-0.22772879,0.03293107,-0.03368676,0.16980251,-0.16187567
-5.90395198,0.70972218,-0.72092121,0.00738140,-0.00813960,0.15953368,-0.17186392,0.12606369,-0.13897863,0.21929412,-0.22464201,0.03303303,-0.03391495,0.17729768,-0.16739680
-5.89794897,0.71500618,-0.71997464,0.00727765,-0.00778852,0.15642055,-0.16748140,0.12519410,-0.13494946,0.21775307,-0.22155734,0.03300367,-0.03400904,0.18562603,-0.17352216
-5.89194597,0.72211616,-0.72014073,0.00728119,-0.00753066,0.15357549,-0.16322998,0.12589401,-0.13220620,0.21644499,-0.21850908,0.03284318,-0.03396398,0.19489789,-0.18034309
-5.88594297,0.73138063,-0.72168311,0.00739739,-0.00737306,0.15105867,-0.15915651,0.12830997,-0.13089836,0.21544393,-0.21554835,0.03255670,-0.03377916,0.20523845,-0.18796932
