energy_ev,total_up,Ag_p_up,Ag_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.91979379,1.13484872,2.09075433,0.66713823,0.80772289,0.01519603,0.26345205,0.01761696,0.54726662
-5.99399700,3.91170732,1.13776448,2.07339474,0.67070640,0.81018814,0.01550389,0.26586302,0.01730289,0.54878921
-5.98799400,3.89519158,1.13905498,2.05157045,0.67249270,0.81089058,0.01578593,0.26762057,0.01699060,0.54868056
-5.98199100,3.87087562,1.13877105,2.02564289,0.67253397,0.81004476,0.01604314,0.26874616,0.01668711,0.54706360
-5.97598799,3.83962191,1.13701176,1.99610790,0.67091414,0.80790517,0.01627713,0.26927923,0.01639939,0.54409716
-5.96998499,3.80248463,1.13391650,1.96357471,0.66776087,0.80475373,0.01649000,0.26927471,0.01613394,0.53996957
-5.96398199,3.76066284,1.12965594,1.92874202,0.66324107,0.80088670,0.01668399,0.26879987,0.01589646,0.53489145
-5.95797899,3.71545125,1.12442242,1.89237252,0.65755540,0.79660152,0.01686134,0.26793116,0.01569155,0.52908787
-5.95197599,3.66819139,1.11842044,1.85526715,0.65093206,0.79218442,0.01702397,0.26675081,0.01552243,0.52279044
-5.94597299,3.62022543,1.11185788,1.81824051,0.64362030,0.78789929,0.01717332,0.26534361,0.01539085,0.51622973
-5.93996998,3.57285503,1.10493824,1.78209829,0.63588375,0.78397839,0.01731015,0.26379385,0.01529695,0.50962824
-5.93396698,3.52730683,1.09785458,1.74761780,0.62799405,0.78061540,0.01743445,0.26218265,0.01523933,0.50319446
-5.92796398,3.48470576,1.09078505,1.71553202,0.62022479,0.77796084,0.01754537,0.26058571,0.01521514,0.49711805
-5.92196098,3.44605677,1.08389050,1.68651764,0.61284604,0.77612027,0.01764129,0.25907152,0.01522024,0.49156640
-5.91595798,3.41223496,1.07731371,1.66118698,0.60611965,0.77515486,0.01771984,0.25770015,0.01524953,0.48668258
-5.90995498,3.38398354,1.07118045,1.64008362,0.60029515,0.77508447,0.01777814,0.25652251,0.01529721,0.48258469
-5.90395198,3.36191844,1.06560168,1.62368113,0.59560641,0.77589257,0.01781296,0.25558009,0.01535712,0.47936639
-5.89794897,3.34653814,1.06067684,1.61238436,0.59226892,0.77753275,0.01782097,0.25490519,0.01542316,0.47709849
-5.89194597,3.33823695,1.05649744,1.60653238,0.59047754,0.77993624,0.01779905,0.25452134,0.01548959,0.47583126
-5.88594297,3.33731968,1.05315072,1.60640219,0.59040463,0.78301980,0.01774454,0.25444411,0.01555138,0.47559720
-5.87993997,3.34401600,1.05072280,1.61221239,0.59219831,0.78669346,0.01765552,0.25468195,0.01560450,0.47641391
-5.87393697,3.35849244,1.04930084,1.62412598,0.59598080,0.79086755,0.01753100,0.25523707,0.01564608,0.47828685
-5.86793397,3.38086086,1.04897410,1.64225167,0.60184665,0.79545861,0.01737114,0.25610634,0.01567463,0.48121155
-5.86193097,3.41118201,1.04983346,1.66664326,0.60986076,0.80039366,0.01717733,0.25728192,0.01568998,0.48517519
-5.85592796,3.44946378,1.05196944,1.69729671,0.62005621,0.80561284,0.01695220,0.25875175,0.01569334,0.49015739
-5.84992496,3.49565398,1.05546877,1.73414523,0.63243185,0.81107009,0.01669962,0.26049988,0.01568712,0.49613006
-5.84392196,3.54962801,1.06040962,1.77705231,0.64694987,0.81673200,0.01642455,0.26250642,0.01567472,0.50305645
-5.83791896,3.61117256,1.06685588,1.82580344,0.66353334,0.82257507,0.01613283,0.26474741,0.01566030,0.51088935
-5.83191596,3.67996652,1.07485081,1.88009712,0.68206409,0.82858157,0.01583095,0.26719442,0.01564842,0.51956885
-5.82591296,3.75556108,1.08441055,1.93953606,0.70238100,0.83473450,0.01552574,0.26981413,0.01564372,0.52901967
-5.81990995,3.83736065,1.09551795,2.00361956,0.72427919,0.84101200,0.01522401,0.27256783,0.01565055,0.53914849
