energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.76403270,0.08454461,0.02240255,1.37036262,0.04229938,1.98274131,2.15129675,1.98267251
-5.99399700,5.74055922,0.08379707,0.02219237,1.36203863,0.04312790,1.97719573,2.17086054,1.96188985
-5.98799400,5.70302936,0.08254169,0.02186480,1.35066871,0.04392849,1.96705294,2.18602948,1.93647508
-5.98199100,5.65329436,0.08080434,0.02142815,1.33676283,0.04470305,1.95291360,2.19723929,1.90731711
-5.97598799,5.59332907,0.07862048,0.02089285,1.32086234,0.04545327,1.93540879,2.20497915,1.87534539
-5.96998499,5.52517211,0.07603412,0.02027109,1.30352366,0.04618034,1.91518097,2.20977280,1.84150258
-5.96398199,5.45086599,0.07309633,0.01957637,1.28530161,0.04688475,1.89286564,2.21215899,1.80671706
-5.95797899,5.37239914,0.06986378,0.01882310,1.26673278,0.04756607,1.86907415,2.21267228,1.77187591
-5.95197599,5.29165130,0.06639694,0.01802607,1.24831940,0.04822277,1.84437830,2.21182463,1.73779940
-5.94597299,5.21034424,0.06275836,0.01720007,1.23051438,0.04885215,1.81929700,2.21008856,1.70521764
-5.93996998,5.12999922,0.05901096,0.01635938,1.21370790,0.04945026,1.79428547,2.20788249,1.67475035
-5.93396698,5.05190277,0.05521638,0.01551743,1.19821616,0.05001193,1.76972734,2.20555881,1.64689048
-5.92796398,4.97708195,0.05143354,0.01468648,1.18427275,0.05053085,1.74592979,2.20339514,1.62199222
-5.92196098,4.90629010,0.04771739,0.01387730,1.17202299,0.05099980,1.72312200,2.20158933,1.60026400
-5.91595798,4.84000391,0.04411795,0.01309902,1.16152173,0.05141081,1.70145682,2.20025820,1.58176691
-5.90995498,4.77843189,0.04067964,0.01235904,1.15273459,0.05175561,1.68101590,2.19944045,1.56641859
-5.90395198,4.72153435,0.03744090,0.01166296,1.14554302,0.05202595,1.66181780,2.19910354,1.55400271
-5.89794897,4.66905423,0.03443416,0.01101468,1.13975285,0.05221418,1.64382905,2.19915435,1.54418367
-5.89194597,4.62055777,0.03168604,0.01041647,1.13510624,0.05231373,1.62697771,2.19945342,1.53652618
-5.88594297,4.57548357,0.02921782,0.00986919,1.13129670,0.05231974,1.61116888,2.19983206,1.53051898
-5.87993997,4.53319808,0.02704620,0.00937252,1.12798645,0.05222961,1.59630155,2.20011181,1.52560179
-5.87393697,4.49305519,0.02518410,0.00892522,1.12482562,0.05204362,1.58228618,2.20012537,1.52119446
-5.86793397,4.45445741,0.02364163,0.00852538,1.12147246,0.05176544,1.56906206,2.19973807,1.51672723
-5.86193097,4.41691584,0.02242715,0.00817077,1.11761357,0.05140257,1.55661380,2.19886895,1.51167067
-5.85592796,4.38010603,0.02154822,0.00785911,1.11298342,0.05096669,1.54498603,2.19751037,1.50556413
-5.84992496,4.34391707,0.02101258,0.00758829,1.10738214,0.05047385,1.53429555,2.19574519,1.49804142
-5.84392196,4.30849138,0.02082891,0.00735666,1.10069078,0.04994447,1.52474022,2.19376051,1.48885262
-5.83791896,4.27425298,0.02100750,0.00716318,1.09288334,0.04940323,1.51660402,2.19185733,1.47788098
-5.83191596,4.24192264,0.02156071,0.00700759,1.08403489,0.04887866,1.51025778,2.19045526,1.46515418
-5.82591296,4.21251874,0.02250313,0.00689048,1.07432541,0.04840266,1.50615544,2.19009205,1.45084938
-5.81990995,4.18734351,0.02385153,0.00681335,1.06403913,0.04800975,1.50482560,2.19141761,1.43529197
-5.81390695,4.16795470,0.02562461,0.00677856,1.05355933,0.04773616,1.50685875,2.19518259,1.41894782
-5.80790395,4.15612384,0.02784236,0.00678931,1.04335880,0.04761888,1.51289037,2.20222196,1.40240964
-5.80190095,4.15378238,0.03052529,0.00684948,1.03398629,0.04769445,1.52358054,2.21343391,1.38637777
-5.79589795,4.16295801,0.03369340,0.00696349,1.02604967,0.04799787,1.53959084,2.22975507,1.37163646
-5.78989495,4.18570358,0.03736497,0.00713611,1.02019618,0.04856135,1.56155938,2.25213283,1.35902651
-5.78389195,4.22402145,0.04155518,0.00737223,1.01709096,0.04941321,1.59007501,2.28149582,1.34941539
-5.77788894,4.27978636,0.04627470,0.00767663,1.01739430,0.05057674,1.62565169,2.31872380,1.34366606
-5.77188594,4.35466968,0.05152822,0.00805369,1.02173876,0.05206929,1.66870404,2.36461780,1.34260579
-5.76588294,4.45006801,0.05731296,0.00850721,1.03070683,0.05390147,1.71952516,2.41987180,1.34699591
-5.75987994,4.56703871,0.06361738,0.00904006,1.04480989,0.05607651,1.77826746,2.48504669,1.35750371
-5.75387694,4.70624447,0.07041997,0.00965403,1.06446918,0.05858992,1.84492735,2.56054737,1.37467735
-5.74787394,4.86790879,0.07768826,0.01034957,1.08999923,0.06142923,1.91933430,2.64660345,1.39892452
-5.74187094,5.05178361,0.08537821,0.01112560,1.12159435,0.06457413,2.00114465,2.74325405,1.43049536
-5.73586793,5.25712977,0.09343384,0.01197940,1.15931813,0.06799670,2.08984039,2.85033676,1.46947012
-5.72986493,5.48271072,0.10178725,0.01290645,1.20309651,0.07166192,2.18473286,2.96748093,1.51575154
-5.72386193,5.72679904,0.11035911,0.01390039,1.25271419,0.07552834,2.28497118,3.09410500,1.56906229
-5.71785893,5.98719555,0.11905950,0.01495302,1.30781445,0.07954895,2.38955505,3.22941786,1.62894699
-5.71185593,6.26125983,0.12778922,0.01605433,1.36790238,0.08367218,2.49735141,3.37242386,1.69477887
-5.70585293,6.54595129,0.13644146,0.01719257,1.43235115,0.08784294,2.60711450,3.52193132,1.76577053
-5.69984992,6.83787940,0.14490385,0.01835445,1.50041143,0.09200384,2.71750843,3.67656431,1.84098865
-5.69384692,7.13336191,0.15306085,0.01952532,1.57122351,0.09609637,2.82713187,3.83477755,1.91937187
-5.68784392,7.42848973,0.16079627,0.02068940,1.64383210,0.10006208,2.93454400,3.99487437,1.99975182
-5.68184092,7.71919698,0.16799610,0.02183015,1.71720345,0.10384378,3.03829108,4.15502783,2.08087642
-5.67583792,8.00133516,0.17455129,0.02293055,1.79024466,0.10738664,3.13693321,4.31330477,2.16143528
-5.66983492,8.27075005,0.18036051,0.02397353,1.86182481,0.11063927,3.22907052,4.46769321,2.24008647
-5.66383192,8.52336013,0.18533287,0.02494232,1.93079767,0.11355460,3.31336851,4.61613277,2.31548433
-5.65782891,8.75523513,0.18939026,0.02582093,1.99602556,0.11609078,3.38858192,4.75654824,2.38630768
-5.65182591,8.96267367,0.19246956,0.02659449,2.05640401,0.11821187,3.45357708,4.88688594,2.45128791
-5.64582291,9.14227829,0.19452428,0.02724974,2.11088656,0.11988840,3.50735207,5.00515257,2.50923638
-5.63981991,9.29102671,0.19552592,0.02777531,2.15850929,0.12109789,3.54905479,5.10945586,2.55907048
-5.63381691,9.40633760,0.19546470,0.02816216,2.19841433,0.12182511,3.57799841,5.19804624,2.59983780
-5.62781391,9.48612937,0.19434989,0.02840378,2.22987167,0.12206229,3.59367424,5.26935844,2.63073776
-5.62181091,9.52887046,0.19220953,0.02849646,2.25229862,0.12180917,3.59576169,5.32205180,2.65114005
-5.61580790,9.53361946,0.18908976,0.02843947,2.26527615,0.12107293,3.58413522,5.35504793,2.66059940
-5.60980490,9.50005368,0.18505358,0.02823506,2.26856143,0.11986797,3.55886811,5.36756438,2.65886616
-5.60380190,9.42848501,0.18017931,0.02788850,2.26209607,0.11821561,3.52023300,5.35914267,2.64589227
-5.59779890,9.31986194,0.17455864,0.02740800,2.24600962,0.11614358,3.46869895,5.32966966,2.62183241
-5.59179590,9.17575725,0.16829445,0.02680447,2.22061786,0.11368555,3.40492523,5.27939091,2.58704010
-5.58579290,8.99834105,0.16149845,0.02609130,2.18641597,0.11088038,3.32975154,5.20891515,2.54205891
-5.57978989,8.79033944,0.15428871,0.02528401,2.14406649,0.10777141,3.24418500,5.11920941,2.48760887
-5.57378689,8.55497946,0.14678717,0.02439988,2.09438249,0.10440561,3.14938377,5.01158445,2.42456853
-5.56778389,8.29592150,0.13911722,0.02345746,2.03830634,0.10083266,3.04663780,4.88767076,2.35395306
-5.56178089,8.01718088,0.13140132,0.02247612,1.97688471,0.09710400,2.93734664,4.74938563,2.27688928
-5.55577789,7.72304051,0.12375892,0.02147554,1.91124076,0.09327180,2.82299498,4.59889211,2.19458810
-5.54977489,7.41795697,0.11630443,0.02047520,1.84254434,0.08938798,2.70512616,4.43855129,2.10831547
