energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.41960258,0.02633220,0.00000000,0.03644364,2.63538475,2.56153107,1.37494786
-5.99399700,4.34484150,0.02617747,0.00000000,0.03578346,2.58756246,2.50928833,1.35287145
-5.98799400,4.27488125,0.02608705,0.00000000,0.03506420,2.54257452,2.45676584,1.33362829
-5.98199100,4.21062597,0.02606453,0.00000000,0.03429722,2.50099005,2.40469280,1.31742507
-5.97598799,4.15284827,0.02611294,0.00000000,0.03349445,2.46329475,2.35375967,1.30439730
-5.96998499,4.10219009,0.02623470,0.00000000,0.03266800,2.42989267,2.30461270,1.29461488
-5.96398199,4.05916975,0.02643162,0.00000000,0.03182984,2.40111211,2.25785131,1.28809049
-5.95797899,4.02419425,0.02670483,0.00000000,0.03099147,2.37721506,2.21402804,1.28479032
-5.95197599,3.99757578,0.02705480,0.00000000,0.03016368,2.35840930,2.17365073,1.28464629
-5.94597299,3.97955122,0.02748133,0.00000000,0.02935630,2.34486239,2.13718645,1.28756929
-5.93996998,3.97030292,0.02798354,0.00000000,0.02857811,2.33671629,2.10506657,1.29346237
-5.93396698,3.96997926,0.02855991,0.00000000,0.02783670,2.33410156,2.07769226,1.30223322
-5.92796398,3.97871338,0.02920825,0.00000000,0.02713849,2.33714998,2.05543981,1.31380511
-5.92196098,3.99663851,0.02992576,0.00000000,0.02648869,2.34600449,2.03866490,1.32812562
-5.91595798,4.02389854,0.03070903,0.00000000,0.02589135,2.36082563,2.02770534,1.34517250
-5.90995498,4.06065301,0.03155406,0.00000000,0.02534948,2.38179369,2.02288180,1.36495637
-5.90395198,4.10707564,0.03245629,0.00000000,0.02486505,2.40910607,2.02449610,1.38751977
-5.89794897,4.16334640,0.03341062,0.00000000,0.02443914,2.44296995,2.03282698,1.41293280
-5.89194597,4.22963725,0.03441145,0.00000000,0.02407197,2.48359011,2.04812348,1.44128523
-5.88594297,4.30609241,0.03545272,0.00000000,0.02376300,2.53115273,2.07059611,1.47267559
-5.87993997,4.39280421,0.03652797,0.00000000,0.02351097,2.58580578,2.10040643,1.50719786
-5.87393697,4.48978611,0.03763040,0.00000000,0.02331390,2.64763723,2.13765566,1.54492629
-5.86793397,4.59694472,0.03875296,0.00000000,0.02316921,2.71665234,2.18237305,1.58589947
-5.86193097,4.71405280,0.03988847,0.00000000,0.02307364,2.79275155,2.23450502,1.63010442
-5.85592796,4.84072521,0.04102971,0.00000000,0.02302335,2.87571044,2.29390580,1.67746185
-5.84992496,4.97639988,0.04216962,0.00000000,0.02301389,2.96516333,2.36033055,1.72781358
-5.84392196,5.12032538,0.04330137,0.00000000,0.02304030,3.06059189,2.43343145,1.78091297
-5.83791896,5.27155647,0.04441860,0.00000000,0.02309714,3.16131980,2.51275753,1.83641924
-5.83191596,5.42895865,0.04551553,0.00000000,0.02317853,3.26651455,2.59775825,1.89389634
-5.82591296,5.59122188,0.04658711,0.00000000,0.02327834,3.37519660,2.68779119,1.95281664
-5.81990995,5.75688349,0.04762914,0.00000000,0.02339024,3.48625612,2.78213331,2.01256971
-5.81390695,5.92435938,0.04863835,0.00000000,0.02350784,3.59847694,2.87999555,2.07247599
-5.80790395,6.09198223,0.04961246,0.00000000,0.02362488,3.71056678,2.98053994,2.13180489
-5.80190095,6.25804497,0.05055015,0.00000000,0.02373534,3.82119277,3.08289830,2.18979671
-5.79589795,6.42084740,0.05145101,0.00000000,0.02383359,3.92902045,3.18619172,2.24568740
-5.78989495,6.57874362,0.05231540,0.00000000,0.02391453,4.03275469,3.28954953,2.29873497
-5.78389195,6.73018779,0.05314427,0.00000000,0.02397367,4.13118037,3.39212695,2.34824643
-5.77788894,6.87377590,0.05393892,0.00000000,0.02400726,4.22320103,3.49312045,2.39360378
-5.77188594,7.00828157,0.05470074,0.00000000,0.02401226,4.30787328,3.59177997,2.43428782
-5.76588294,7.13268382,0.05543088,0.00000000,0.02398643,4.38443551,3.68741777,2.46989843
-5.75987994,7.24618589,0.05612997,0.00000000,0.02392822,4.45232918,3.77941337,2.50017034
-5.75387694,7.34822401,0.05679779,0.00000000,0.02383678,4.51121185,3.86721480,2.52498339
-5.74787394,7.43846621,0.05743302,0.00000000,0.02371184,4.56096104,3.95033640,2.54436675
-5.74187094,7.51680140,0.05803301,0.00000000,0.02355360,4.60166891,4.02835367,2.55849669
-5.73586793,7.58331963,0.05859362,0.00000000,0.02336265,4.63362801,4.10089591,2.56768796
-5.72986493,7.63828494,0.05910916,0.00000000,0.02313979,4.65730876,4.16763750,2.57237908
-5.72386193,7.68210252,0.05957246,0.00000000,0.02288599,4.67332987,4.22828865,2.57311216
-5.71785893,7.71528194,0.05997492,0.00000000,0.02260225,4.68242311,4.28258657,2.57050814
-5.71185593,7.73839861,0.06030682,0.00000000,0.02228951,4.68539424,4.33028772,2.56523850
-5.70585293,7.75205546,0.06055758,0.00000000,0.02194868,4.68308177,4.37116188,2.55799488
-5.69984992,7.75684657,0.06071623,0.00000000,0.02158056,4.67631574,4.40498840,2.54945773
-5.69384692,7.75332446,0.06077179,0.00000000,0.02118588,4.66587811,4.43155490,2.54026569
-5.68784392,7.74197245,0.06071383,0.00000000,0.02076535,4.65246668,4.45065844,2.53098686
-5.68184092,7.72318294,0.06053297,0.00000000,0.02031973,4.63666407,4.46210887,2.52209326
-5.67583792,7.69724237,0.06022138,0.00000000,0.01984990,4.61891289,4.46573417,2.51393978
-5.66983492,7.66432322,0.05977321,0.00000000,0.01935698,4.59949829,4.46138717,2.50674832
-5.66383192,7.62448295,0.05918500,0.00000000,0.01884242,4.57853826,4.44895315,2.50059788
-5.65782891,7.57766968,0.05845599,0.00000000,0.01830810,4.55598220,4.42835781,2.49542118
-5.65182591,7.52373418,0.05758832,0.00000000,0.01775639,4.53161754,4.39957493,2.49100765
-5.64582291,7.46244729,0.05658711,0.00000000,0.01719022,4.50508406,4.36263344,2.48701289
-5.63981991,7.39352205,0.05546044,0.00000000,0.01661311,4.47589526,4.31762335,2.48297409
-5.63381691,7.31663963,0.05421920,0.00000000,0.01602918,4.44346570,4.26470043,2.47833071
-5.62781391,7.23147777,0.05287688,0.00000000,0.01544312,4.40714321,4.20408945,2.47244958
-5.62181091,7.13774085,0.05144919,0.00000000,0.01486013,4.36624454,4.13608589,2.46465330
-5.61580790,7.03519020,0.04995370,0.00000000,0.01428585,4.32009290,4.06105626,2.45425062
-5.60980490,6.92367359,0.04840931,0.00000000,0.01372625,4.26805586,3.97943698,2.44056772
-5.60380190,6.80315262,0.04683584,0.00000000,0.01318751,4.20958187,3.89173214,2.42297870
-5.59779890,6.67372683,0.04525343,0.00000000,0.01267591,4.14423400,3.79851007,2.40093427
-5.59179590,6.53565342,0.04368211,0.00000000,0.01219766,4.07171936,3.70039891,2.37398719
-5.58579290,6.38936164,0.04214131,0.00000000,0.01175878,3.99191288,3.59808124,2.34181347
-5.57978989,6.23546098,0.04064940,0.00000000,0.01136501,3.90487454,3.49228779,2.30422842
-5.57378689,6.07474256,0.03922337,0.00000000,0.01102162,3.81085917,3.38379030,2.26119686
-5.56778389,5.90817340,0.03787848,0.00000000,0.01073335,3.71031852,3.27339344,2.21283719
