energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,6.77610699,0.03876640,1.13375089,2.11028143,3.10692609,2.14061189,0.00000000
-5.99399700,6.94910324,0.04019722,1.17856991,2.18451320,3.17134656,2.19753570,0.00000000
-5.98799400,7.09765382,0.04147741,1.21894757,2.25027620,3.22550815,2.24629966,0.00000000
-5.98199100,7.21843856,0.04257835,1.25420262,2.30629059,3.26796460,2.28588701,0.00000000
-5.97598799,7.30881557,0.04347442,1.28375163,2.35146454,3.29759977,2.31548753,0.00000000
-5.96998499,7.36688737,0.04414382,1.30712457,2.38492197,3.31365228,2.33452163,0.00000000
-5.96398199,7.39154519,0.04456929,1.32397715,2.40602467,3.31572973,2.34265744,0.00000000
-5.95797899,7.38249025,0.04473873,1.33409954,2.41438793,3.30381253,2.33982027,0.00000000
-5.95197599,7.34023167,0.04464557,1.33742093,2.40988889,3.27824724,2.32619438,0.00000000
-5.94597299,7.26606181,0.04428902,1.33401001,2.39266746,3.23973026,2.30221705,0.00000000
-5.93996998,7.16201038,0.04367416,1.32407116,2.36311954,3.18928274,2.26856543,0.00000000
-5.93396698,7.03077966,0.04281171,1.30793665,2.32188307,3.12821776,2.22613686,0.00000000
-5.92796398,6.87566339,0.04171779,1.28605521,2.26981719,3.05810126,2.17602355,0.00000000
-5.92196098,6.70045290,0.04041338,1.25897738,2.20797570,2.98070811,2.11948268,0.00000000
-5.91595798,6.50933356,0.03892373,1.22733827,2.13757548,2.89797492,2.05790308,0.00000000
-5.90995498,6.30677537,0.03727758,1.19183848,2.05996150,2.81195087,1.99276969,0.00000000
-5.90395198,6.09742098,0.03550639,1.15322381,1.97656936,2.72474813,1.92562693,0.00000000
-5.89794897,5.88597439,0.03364346,1.11226460,1.88888708,2.63849286,1.85804218,0.00000000
-5.89194597,5.67709318,0.03172306,1.06973540,1.79841712,2.55527803,1.79157021,0.00000000
-5.88594297,5.47528668,0.02977959,1.02639552,1.70664010,2.47711871,1.72771940,0.00000000
-5.87993997,5.28482194,0.02784678,0.98297129,1.61498121,2.40591064,1.66792056,0.00000000
-5.87393697,5.10963908,0.02595693,0.94014019,1.52478019,2.34339240,1.61349857,0.00000000
-5.86793397,4.95327697,0.02414031,0.89851752,1.43726560,2.29111154,1.56564742,0.00000000
-5.86193097,4.81880970,0.02242459,0.85864554,1.35353374,2.25039497,1.52540871,0.00000000
-5.85592796,4.70879439,0.02083441,0.82098543,1.27453266,2.22232357,1.49365373,0.00000000
-5.84992496,4.62523011,0.01939105,0.78591190,1.20105098,2.20771138,1.47106916,0.00000000
