energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.39807296,1.21599253,0.87531597,0.00340426,0.06711441,0.03324241,2.17761975,0.54159527,0.18523350
-5.99399700,3.42190582,1.21847857,0.88595974,0.00364772,0.06595170,0.03369929,2.19602862,0.54406654,0.18553910
-5.98799400,3.43694086,1.21751587,0.89414725,0.00389361,0.06460530,0.03405611,2.20894124,0.54528706,0.18537620
-5.98199100,3.44332155,1.21324436,0.89985325,0.00413918,0.06309733,0.03431350,2.21641748,0.54527121,0.18476551
-5.97598799,3.44120247,1.20581878,0.90306070,0.00438139,0.06144997,0.03447254,2.21852127,0.54403357,0.18372768
-5.96998499,3.43073864,1.19540392,0.90375868,0.00461700,0.05968481,0.03453459,2.21531481,0.54158820,0.18228249
-5.96398199,3.41207924,1.18217108,0.90194101,0.00484263,0.05782240,0.03450117,2.20685551,0.53794863,0.18044838
-5.95797899,3.38536579,1.16629568,0.89760599,0.00505481,0.05588186,0.03437385,2.19319593,0.53312854,0.17824218
-5.95197599,3.35073486,1.14795602,0.89075710,0.00525016,0.05388067,0.03415417,2.17438641,0.52714305,0.17567913
-5.94597299,3.30832501,1.12733323,0.88140470,0.00542538,0.05183464,0.03384368,2.15048046,0.52001048,0.17277315
-5.93996998,3.25828712,1.10461197,0.86956861,0.00557745,0.04975796,0.03344393,2.12154219,0.51175447,0.16953732
-5.93396698,3.20079744,1.07998189,0.85528141,0.00570367,0.04766337,0.03295657,2.08765533,0.50240623,0.16598447
-5.92796398,3.13607234,1.05363947,0.83859216,0.00580180,0.04556248,0.03238346,2.04893319,0.49200679,0.16212799
-5.92196098,3.06438341,1.02578997,0.81957025,0.00587007,0.04346607,0.03172678,2.00552877,0.48060903,0.15798256
-5.91595798,2.98607202,0.99664923,0.79830918,0.00590732,0.04138446,0.03098923,1.95764432,0.46827938,0.15356497
-5.90995498,2.90156207,0.96644511,0.77492988,0.00591300,0.03932795,0.03017409,1.90553956,0.45509900,0.14889485
-5.90395198,2.81137000,0.93541834,0.74958319,0.00588721,0.03730709,0.02928543,1.84953805,0.44116436,0.14399525
-5.89794897,2.71611124,0.90382262,0.72245154,0.00583067,0.03533307,0.02832814,1.79003116,0.42658719,0.13889317
-5.89194597,2.61650247,0.87192388,0.69374932,0.00574475,0.03341797,0.02730803,1.72747919,0.41149373,0.13361978
-5.88594297,2.51335940,0.83999874,0.66372201,0.00563140,0.03157494,0.02623186,1.66240963,0.39602331,0.12821054
-5.87993997,2.40758993,0.80833209,0.63264394,0.00549305,0.02981831,0.02510728,1.59541226,0.38032631,0.12270506
-5.87393697,2.30018293,0.77721400,0.60081479,0.00533258,0.02816360,0.02394278,1.52713153,0.36456167,0.11714675
-5.86793397,2.19219287,0.74693596,0.56855480,0.00515320,0.02662744,0.02274754,1.45825620,0.34889392,0.11158229
-5.86193097,2.08472111,0.71778668,0.53619897,0.00495834,0.02522741,0.02153129,1.38950686,0.33348997,0.10606090
-5.85592796,1.97889441,0.69004764,0.50409038,0.00475157,0.02398172,0.02030412,1.32162172,0.31851573,0.10063350
-5.84992496,1.87584156,0.66398846,0.47257298,0.00453645,0.02290894,0.01907624,1.25534124,0.30413278,0.09535171
-5.84392196,1.77666907,0.63986238,0.44198401,0.00431646,0.02202748,0.01785775,1.19139223,0.29049507,0.09026678
-5.83791896,1.68243667,0.61790186,0.41264642,0.00409491,0.02135514,0.01665845,1.13047191,0.27774591,0.08542851
-5.83191596,1.59413362,0.59831452,0.38486154,0.00387483,0.02090852,0.01548756,1.07323254,0.26601517,0.08088416
-5.82591296,1.51265643,0.58127940,0.35890227,0.00365894,0.02070246,0.01435357,1.02026706,0.25541693,0.07667733
-5.81990995,1.43878871,0.56694370,0.33500691,0.00344959,0.02074937,0.01326406,0.97209618,0.24604745,0.07284700
-5.81390695,1.37318365,0.55541988,0.31337399,0.00324871,0.02105862,0.01222556,0.92915724,0.23798352,0.06942660
-5.80790395,1.31634962,0.54678330,0.29415809,0.00305786,0.02163590,0.01124346,0.89179494,0.23128125,0.06644319
-5.80190095,1.26863898,0.54107024,0.27746682,0.00287814,0.02248269,0.01032194,0.86025443,0.22597520,0.06391685
-5.79589795,1.23024056,0.53827642,0.26335903,0.00271029,0.02359568,0.00946400,0.83467647,0.22207784,0.06186014
-5.78989495,1.20117570,0.53835599,0.25184416,0.00255467,0.02496639,0.00867142,0.81509499,0.21957939,0.06027778
-5.78389195,1.18129795,0.54122100,0.24288289,0.00241131,0.02658084,0.00794487,0.80143698,0.21844788,0.05916645
-5.77788894,1.17029657,0.54674148,0.23638895,0.00227998,0.02841940,0.00728396,0.79352459,0.21862958,0.05851485
-5.77188594,1.16770349,0.55474618,0.23223197,0.00216017,0.03045677,0.00668737,0.79107957,0.22004974,0.05830387
-5.76588294,1.17290398,0.56502402,0.23024149,0.00205122,0.03266217,0.00615294,0.79372984,0.22261358,0.05850699
-5.75987994,1.18515062,0.57732644,0.23021174,0.00195230,0.03499973,0.00567782,0.80101820,0.22620770,0.05909079
-5.75387694,1.20358052,0.59137072,0.23190740,0.00186250,0.03742902,0.00525857,0.81241302,0.23070189,0.06001571
-5.74787394,1.22723561,0.60684435,0.23506991,0.00178085,0.03990585,0.00489134,0.82732084,0.23595129,0.06123692
-5.74187094,1.25508543,0.62341046,0.23942442,0.00170635,0.04238321,0.00457196,0.84510057,0.24179901,0.06270533
-5.73586793,1.28605230,0.64071444,0.24468704,0.00163805,0.04481237,0.00429604,0.86507919,0.24807924,0.06436875
-5.72986493,1.31903809,0.65839144,0.25057237,0.00157502,0.04714411,0.00405913,0.88656848,0.25462074,0.06617309
-5.72386193,1.35295203,0.67607491,0.25680096,0.00151641,0.04933003,0.00385674,0.90888251,0.26125067,0.06806366
-5.71785893,1.38673885,0.69340566,0.26310663,0.00146146,0.05132389,0.00368450,0.93135541,0.26779881,0.06998653
-5.71185593,1.41940633,0.71004138,0.26924336,0.00140953,0.05308294,0.00353817,0.95335879,0.27410188,0.07188977
-5.70585293,1.45005143,0.72566617,0.27499159,0.00136008,0.05456919,0.00341374,0.97431845,0.28000793,0.07372474
