energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.73401559,0.71177921,0.94846006,0.00381075,0.37541173,0.78199292,0.83447111,0.01049999,1.67191156
-5.99399700,3.65690952,0.69111292,0.92908658,0.00339026,0.35035175,0.75905035,0.82641399,0.01031337,1.65323594
-5.98799400,3.58414820,0.67171141,0.91091348,0.00299758,0.32572090,0.73606857,0.81935614,0.01020820,1.63608987
-5.98199100,3.51579949,0.65358449,0.89392462,0.00263421,0.30177725,0.71323509,0.81316856,0.01018337,1.62037826
-5.97598799,3.45164764,0.63669383,0.87803038,0.00230093,0.27874262,0.69069819,0.80766208,0.01023560,1.60588297
-5.96998499,3.39121417,0.62095507,0.86307503,0.00199788,0.25679898,0.66856466,0.80259542,0.01035953,1.59227434
-5.96398199,3.33379037,0.60624197,0.84884699,0.00172465,0.23608650,0.64689995,0.79768539,0.01054777,1.57912802
-5.95797899,3.27847969,0.59239244,0.83509132,0.00148034,0.21670340,0.62573034,0.79261909,0.01079116,1.56594601
-5.95197599,3.22424765,0.57921611,0.82152386,0.00126365,0.19870726,0.60504700,0.78706731,0.01107896,1.55218100
-5.94597299,3.16997663,0.56650307,0.80784619,0.00107299,0.18211782,0.58481154,0.78069859,0.01139914,1.53726261
-5.93996998,3.11452280,0.55403335,0.79376072,0.00090655,0.16692077,0.56496262,0.77319334,0.01173873,1.52062431
-5.93396698,3.05677233,0.54158658,0.77898515,0.00076237,0.15307251,0.54542312,0.76425729,0.01208413,1.50172970
-5.92796398,2.99569415,0.52895147,0.76326570,0.00063840,0.14050536,0.52610756,0.75363370,0.01242157,1.48009672
-5.92196098,2.93038703,0.51593461,0.74638838,0.00053259,0.12913313,0.50692925,0.74111388,0.01273745,1.45531902
-5.91595798,2.86011891,0.50236813,0.72818812,0.00044293,0.11885662,0.48780677,0.72654550,0.01301878,1.42708323
-5.90995498,2.78435705,0.48811599,0.70855521,0.00036747,0.10956895,0.46866964,0.70983844,0.01325353,1.39518174
-5.90395198,2.70278815,0.47307869,0.68743909,0.00030439,0.10116039,0.44946277,0.69096809,0.01343102,1.35952049
-5.89794897,2.61532810,0.45719610,0.66484941,0.00025197,0.09352265,0.43014969,0.66997595,0.01354220,1.32012167
-5.89194597,2.52212157,0.44044861,0.64085455,0.00020866,0.08655247,0.41071453,0.64696776,0.01357990,1.27712153
-5.88594297,2.42353221,0.42285641,0.61557785,0.00017306,0.08015444,0.39116261,0.62210923,0.01353905,1.23076370
-5.87993997,2.32012454,0.40447726,0.58919192,0.00014392,0.07424306,0.37151995,0.59561990,0.01341677,1.18138853
-5.87393697,2.21263914,0.38540287,0.56191149,0.00012015,0.06874401,0.35183169,0.56776533,0.01321238,1.12941941
-5.86793397,2.10196269,0.36575409,0.53398513,0.00010079,0.06359480,0.33215976,0.53884813,0.01292741,1.07534672
-5.86193097,1.98909461,0.34567535,0.50568658,0.00008504,0.05874474,0.31257984,0.50919831,0.01256544,1.01971041
-5.85592796,1.87511224,0.32532859,0.47730580,0.00007222,0.05415442,0.29317796,0.47916338,0.01213193,0.96308212
-5.84992496,1.76113602,0.30488697,0.44914033,0.00006174,0.04979478,0.27404696,0.44909859,0.01163398,0.90604750
-5.84392196,1.64829612,0.28452867,0.42148732,0.00005314,0.04564586,0.25528286,0.41935768,0.01108002,0.84918973
-5.83791896,1.53770188,0.26443112,0.39463629,0.00004604,0.04169537,0.23698157,0.39028448,0.01047951,0.79307445
-5.83191596,1.43041469,0.24476568,0.36886289,0.00004012,0.03793722,0.21923579,0.36220545,0.00984257,0.73823683
-5.82591296,1.32742505,0.22569307,0.34442379,0.00003515,0.03436995,0.20213240,0.33542348,0.00917967,0.68517088
-5.81990995,1.22963411,0.20735971,0.32155257,0.00003093,0.03099533,0.18575032,0.31021283,0.00850124,0.63432120
-5.81390695,1.13783952,0.18989476,0.30045660,0.00002731,0.02781705,0.17015896,0.28681528,0.00781745,0.58607701
-5.80790395,1.05272554,0.17340819,0.28131486,0.00002419,0.02483957,0.15541709,0.26543742,0.00713783,0.54076854
-5.80190095,0.97485695,0.15798957,0.26427645,0.00002148,0.02206723,0.14157226,0.24624894,0.00647113,0.49866529
-5.79589795,0.90467624,0.14370766,0.24945972,0.00001912,0.01950353,0.12866069,0.22938179,0.00582510,0.45997607
-5.78989495,0.84250354,0.13061071,0.23695188,0.00001705,0.01715063,0.11670747,0.21493005,0.00520634,0.42485047
-5.78389195,0.78853876,0.11872721,0.22680893,0.00001526,0.01500906,0.10572720,0.20295037,0.00462027,0.39338135
-5.77788894,0.74286544,0.10806719,0.21905581,0.00001369,0.01307763,0.09572474,0.19346283,0.00407108,0.36560819
-5.77188594,0.70545586,0.09862378,0.21368684,0.00001235,0.01135348,0.08669623,0.18645217,0.00356173,0.34152097
-5.76588294,0.67617719,0.09037504,0.21066627,0.00001121,0.00983224,0.07863021,0.18186921,0.00309406,0.32106442
-5.75987994,0.65479835,0.08328589,0.20992909,0.00001026,0.00850831,0.07150877,0.17963259,0.00266884,0.30414255
-5.75387694,0.64099772,0.07731011,0.21138215,0.00000948,0.00737519,0.06530876,0.17963062,0.00228587,0.29062320
-5.74787394,0.63437138,0.07239237,0.21490562,0.00000885,0.00642585,0.06000291,0.18172348,0.00194418,0.28034277
-5.74187094,0.63444225,0.06847019,0.22035488,0.00000838,0.00565311,0.05556099,0.18574566,0.00164210,0.27311098
-5.73586793,0.64066998,0.06547578,0.22756295,0.00000803,0.00504992,0.05195076,0.19150868,0.00137744,0.26871574
-5.72986493,0.65246172,0.06333784,0.23634348,0.00000780,0.00460975,0.04913896,0.19880432,0.00114762,0.26692800
-5.72386193,0.66918382,0.06198321,0.24649428,0.00000767,0.00432677,0.04709211,0.20740810,0.00094982,0.26750674
-5.71785893,0.69017427,0.06133835,0.25780152,0.00000763,0.00419605,0.04577717,0.21708334,0.00078104,0.27020396
-5.71185593,0.71475591,0.06133073,0.27004426,0.00000765,0.00421364,0.04516214,0.22758540,0.00063826,0.27476960
-5.70585293,0.74224992,0.06188999,0.28299941,0.00000773,0.00437659,0.04521645,0.23866648,0.00051852,0.28095635
-5.69984992,0.77198949,0.06294898,0.29644691,0.00000785,0.00468288,0.04591125,0.25008038,0.00041896,0.28852421
-5.69384692,0.80333302,0.06444463,0.31017481,0.00000800,0.00513128,0.04721953,0.26158763,0.00033688,0.29724461
-5.68784392,0.83567660,0.06631852,0.32398414,0.00000815,0.00572115,0.04911607,0.27296029,0.00026981,0.30690404
-5.68184092,0.86846508,0.06851742,0.33769338,0.00000830,0.00645213,0.05157731,0.28398673,0.00021549,0.31730693
-5.67583792,0.90120146,0.07099347,0.35114214,0.00000844,0.00732389,0.05458103,0.29447593,0.00017190,0.32827776
-5.66983492,0.93345415,0.07370432,0.36419405,0.00000856,0.00833578,0.05810596,0.30426121,0.00013730,0.33966224
-5.66383192,0.96486177,0.07661295,0.37673865,0.00000865,0.00948646,0.06213132,0.31320336,0.00011015,0.35132751
-5.65782891,0.99513555,0.07968749,0.38869210,0.00000871,0.01077361,0.06663631,0.32119292,0.00008917,0.36316153
-5.65182591,1.02405916,0.08290083,0.39999699,0.00000873,0.01219363,0.07159962,0.32815170,0.00007331,0.37507144
-5.64582291,1.05148621,0.08623026,0.41062093,0.00000871,0.01374141,0.07699897,0.33403341,0.00006169,0.38698138
-5.63981991,1.07733590,0.08965703,0.42055434,0.00000866,0.01541013,0.08281086,0.33882363,0.00005364,0.39882964
-5.63381691,1.10158703,0.09316604,0.42980756,0.00000858,0.01719120,0.08901032,0.34253896,0.00004868,0.41056567
-5.62781391,1.12427122,0.09674560,0.43840739,0.00000848,0.01907429,0.09557104,0.34522571,0.00004647,0.42214685
-5.62181091,1.14546571,0.10038731,0.44639350,0.00000837,0.02104736,0.10246560,0.34695814,0.00004681,0.43353571
-5.61580790,1.16528639,0.10408628,0.45381484,0.00000826,0.02309695,0.10966600,0.34783643,0.00004965,0.44469741
-5.60980490,1.18388169,0.10784138,0.46072638,0.00000816,0.02520845,0.11714442,0.34798458,0.00005506,0.45559803
-5.60380190,1.20142760,0.11165585,0.46718635,0.00000809,0.02736648,0.12487421,0.34754829,0.00006322,0.46620358
