energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,10.66616269,0.13284716,0.31813402,0.10140798,6.17146648,2.27668196,0.42309436,1.86228167,0.78002640
-5.99399700,10.49633998,0.12889493,0.31997645,0.09769350,6.06448357,2.22920290,0.41395767,1.82162235,0.77259587
-5.98799400,10.29254818,0.12446099,0.32056258,0.09393118,5.93817494,2.17379547,0.40349479,1.77577743,0.76244275
-5.98199100,10.05605375,0.11962510,0.31990449,0.09012978,5.79328710,2.11104452,0.39182747,1.72489489,0.74963724
-5.97598799,9.78861264,0.11446989,0.31803761,0.08629945,5.63083742,2.04161809,0.37909611,1.66919279,0.73429320
-5.96998499,9.49246109,0.10907873,0.31501974,0.08245203,5.45211067,1.96625842,0.36545657,1.60896344,0.71656718
-5.96398199,9.17028889,0.10353363,0.31092922,0.07860120,5.25864593,1.88577123,0.35107646,1.54457476,0.69665577
-5.95797899,8.82519516,0.09791341,0.30586231,0.07476241,5.05221371,1.80101314,0.33613092,1.47646845,0.67479146
-5.95197599,8.46062771,0.09229196,0.29992985,0.07095262,4.83478358,1.71287738,0.32079823,1.40515499,0.65123700
-5.94597299,8.08030779,0.08673683,0.29325337,0.06718994,4.60848361,1.62227816,0.30525518,1.33120561,0.62627866
-5.93996998,7.68814327,0.08130802,0.28596077,0.06349309,4.37555287,1.53013385,0.28967266,1.25524150,0.60021837
-5.93396698,7.28813378,0.07605715,0.27818190,0.05988081,4.13828902,1.43734969,0.27421139,1.17792065,0.57336541
-5.92796398,6.88427198,0.07102683,0.27004408,0.05637120,3.89899334,1.34480045,0.25901821,1.09992306,0.54602780
-5.92196098,6.48044538,0.06625044,0.26166791,0.05298113,3.65991551,1.25331378,0.24422284,1.02193487,0.51850387
-5.91595798,6.08034318,0.06175208,0.25316361,0.04972562,3.42320065,1.16365489,0.22993541,0.94463225,0.49107444
-5.90995498,5.68737220,0.05754686,0.24462789,0.04661738,3.19084108,1.07651307,0.21624484,0.86866559,0.46399591
-5.90395198,5.30458577,0.05364147,0.23614177,0.04366643,2.96463468,0.99249077,0.20321799,0.79464501,0.43749458
-5.89794897,4.93462827,0.05003481,0.22776923,0.04087984,2.74615179,0.91209554,0.19089969,0.72312744,0.41176249
