energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,9.93850658,1.24843097,0.78255192,0.01816337,0.82054657,3.77657726,4.09479301,0.07528861,3.93122541
-5.99399700,10.08802136,1.27536305,0.78932394,0.01822013,0.83050426,3.85776758,4.17140056,0.07642054,3.98994155
-5.98799400,10.24157499,1.30471026,0.79697124,0.01829181,0.84011872,3.94165669,4.24889207,0.07758967,4.05169238
-5.98199100,10.39664624,1.33598598,0.80530415,0.01837560,0.84924215,4.02702885,4.32618366,0.07878073,4.11540191
-5.97598799,10.55074536,1.36867063,0.81412894,0.01846850,0.85773586,4.11264655,4.40222359,0.07997717,4.17998858
-5.96998499,10.70146675,1.40222198,0.82325216,0.01856738,0.86547430,4.19727472,4.47601566,0.08116161,4.24438630
-5.96398199,10.84653833,1.43608586,0.83248465,0.01866914,0.87234886,4.27970526,4.54664025,0.08231628,4.30756438
-5.95797899,10.98386667,1.46970703,0.84164537,0.01877079,0.87827129,4.35878129,4.61327292,0.08342349,4.36854596
-5.95197599,11.11157689,1.50254000,0.85056465,0.01886959,0.88317668,4.43342066,4.67520008,0.08446613,4.42642475
-5.94597299,11.22804692,1.53405950,0.85908718,0.01896310,0.88702583,4.50263815,4.73183151,0.08542815,4.48037974
-5.93996998,11.33193540,1.56377042,0.86707439,0.01904931,0.88980711,4.56556584,4.78270969,0.08629498,4.52968786
-5.93396698,11.42220293,1.59121710,0.87440645,0.01912670,0.89153754,4.62147117,4.82751582,0.08705396,4.57373423
-5.92796398,11.49812639,1.61599161,0.88098368,0.01919431,0.89226322,4.66977221,4.86607251,0.08769469,4.61202014
-5.92196098,11.55930616,1.63774111,0.88672759,0.01925179,0.89205894,4.71004974,4.89834332,0.08820931,4.64416859
-5.91595798,11.60566626,1.65617398,0.89158139,0.01929945,0.89102708,4.74205569,4.92442910,0.08859270,4.66992745
-5.90995498,11.63744750,1.67106460,0.89551009,0.01933822,0.88929564,4.76571778,4.94456142,0.08884257,4.68917009
-5.90395198,11.65519375,1.68225687,0.89850027,0.01936969,0.88701554,4.78113999,4.95909321,0.08895957,4.70189383
-5.89794897,11.65973174,1.68966616,0.90055939,0.01939603,0.88435719,4.78859885,4.96848675,0.08894717,4.70821601
-5.89194597,11.65214470,1.69327989,0.90171488,0.01941998,0.88150630,4.78853543,4.97329942,0.08881157,4.70836791
-5.88594297,11.63374047,1.69315648,0.90201282,0.01944473,0.87865912,4.78154317,4.97416727,0.08856149,4.70268663
-5.87993997,11.60601441,1.68942287,0.90151644,0.01947384,0.87601714,4.76835172,4.97178687,0.08820791,4.69160503
-5.87393697,11.57060809,1.68227052,0.90030430,0.01951113,0.87378132,4.74980708,4.96689564,0.08776374,4.67563997
-5.86793397,11.52926429,1.67194999,0.89846819,0.01956057,0.87214606,4.72684834,4.96025106,0.08724347,4.65537885
-5.86193097,11.48377911,1.65876419,0.89611079,0.01962609,0.87129306,4.70048171,4.95260908,0.08666279,4.63146479
-5.85592796,11.43595219,1.64306033,0.89334308,0.01971148,0.87138514,4.67175219,4.94470220,0.08603813,4.60458049
-5.84992496,11.38753586,1.62522083,0.89028148,0.01982024,0.87256027,4.64171372,4.93721755,0.08538626,4.57543110
-5.84392196,11.34018425,1.60565331,0.88704470,0.01995543,0.87492603,4.61139838,4.93077558,0.08472386,4.54472617
-5.83791896,11.29540344,1.58477977,0.88375043,0.02011950,0.87855456,4.58178556,4.92590961,0.08406707,4.51316114
-5.83191596,11.25450384,1.56302546,0.88051174,0.02031422,0.88347836,4.55377188,4.92304708,0.08343110,4.48139850
-5.82591296,11.21855597,1.54080739,0.87743345,0.02054052,0.88968698,4.52814271,4.92249276,0.08282980,4.45004909
-5.81990995,11.18835104,1.51852309,0.87460838,0.02079838,0.89712477,4.50554631,4.92441468,0.08227530,4.41965401
