energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-3.48474237,8.86420656,2.31225540,4.98712770,0.13292145,0.05254055,0.18923492,0.07825845,2.59525255
-3.47873937,8.86286015,2.30774968,4.95065605,0.12830575,0.05451672,0.18762519,0.08401925,2.62284464
-3.47273637,8.85522691,2.30017412,4.91100784,0.12391532,0.05632160,0.18568018,0.09016969,2.64861659
-3.46673337,8.84436492,2.29017811,4.87035664,0.11983000,0.05794451,0.18348899,0.09669527,2.67310917
-3.46073037,8.83317628,2.27838622,4.83073391,0.11611668,0.05938117,0.18114183,0.10357440,2.69684932
-3.45472736,8.82429445,2.26537504,4.79395324,0.11282801,0.06063408,0.17872668,0.11077843,2.72032763
-3.44872436,8.81998488,2.25165324,4.76154394,0.11000166,0.06171272,0.17632609,0.11827196,2.74397829
-3.44272136,8.82206294,2.23764577,4.73469708,0.10766004,0.06263339,0.17401413,0.12601340,2.76816270
-3.43671836,8.83183265,2.22368288,4.71422616,0.10581072,0.06341885,0.17185386,0.13395588,2.79315694
-3.43071536,8.85004852,2.20999417,4.70054389,0.10444711,0.06409772,0.16989523,0.14204821,2.81914388
-3.42471236,8.87690147,2.19670798,4.69365606,0.10354977,0.06470360,0.16817358,0.15023611,2.84620961
-3.41870935,8.91202879,2.18385553,4.69317227,0.10308786,0.06527398,0.16670876,0.15846356,2.87434441
-3.41270635,8.95454662,2.17137975,4.69833269,0.10302098,0.06584894,0.16550503,0.16667407,2.90344757
-3.40670335,9.00310268,2.15914758,4.70804924,0.10330104,0.06646979,0.16455145,0.17481205,2.93333556
-3.40070035,9.05594572,2.14696533,4.72095881,0.10387430,0.06717752,0.16382310,0.18282400,2.96375276
-3.39469735,9.11100768,2.13459561,4.73548586,0.10468328,0.06801125,0.16328273,0.19065952,2.99438393
-3.38869435,9.16599414,2.12177518,4.74991118,0.10566872,0.06900671,0.16288295,0.19827220,3.02486738
-3.38269135,9.21847843,2.10823239,4.76244360,0.10677122,0.07019476,0.16256883,0.20562011,3.05480824
-3.37668834,9.26599489,2.09370352,4.77129134,0.10793286,0.07160008,0.16228068,0.21266611,3.08379084
-3.37068534,9.30612740,2.07794708,4.77473015,0.10909856,0.07323993,0.16195706,0.21937787,3.11138978
-3.36468234,9.33658961,2.06075559,4.77116538,0.11021714,0.07512327,0.16153777,0.22572753,3.13717925
-3.35867934,9.35529434,2.04196457,4.75918596,0.11124237,0.07725001,0.16096673,0.23169126,3.16074047
-3.35267634,9.36041039,2.02145837,4.73760867,0.11213363,0.07961060,0.16019469,0.23724850,3.18166715
-3.34667334,9.35040583,1.99917323,4.70551159,0.11285661,0.08218594,0.15918167,0.24238117,3.19956941
-3.34067034,9.32407787,1.97509763,4.66225654,0.11338371,0.08494756,0.15789897,0.24707275,3.21407644
-3.33466733,9.28056984,1.94927046,4.60750043,0.11369453,0.08785814,0.15633085,0.25130750,3.22483828
-3.32866433,9.21937679,1.92177751,4.54119637,0.11377611,0.09087237,0.15447575,0.25506962,3.23152755
-3.32266133,9.14034129,1.89274675,4.46358536,0.11362327,0.09393804,0.15234699,0.25834271,3.23384135
