energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.38445768,0.00852247,0.08790898,0.46739869,0.62029477,0.29852173,0.21692185,0.00673690,0.45201945
-5.99399700,1.48658289,0.00888725,0.09682607,0.51513975,0.66152614,0.32501176,0.23138109,0.00722974,0.48763238
-5.98799400,1.59341840,0.00930615,0.10623845,0.56568905,0.70453813,0.35279795,0.24627603,0.00774508,0.52506786
-5.98199100,1.70375635,0.00977155,0.11605612,0.61859991,0.74879287,0.38160286,0.26143651,0.00827769,0.56392887
-5.97598799,1.81622336,0.01027471,0.12617465,0.67334040,0.79368864,0.41110410,0.27667038,0.00882136,0.60375838
-5.96998499,1.92930270,0.01080589,0.13647629,0.72929837,0.83857105,0.44093846,0.29176713,0.00936896,0.64404565
-5.96398199,2.04136370,0.01135451,0.14683165,0.78578975,0.88274723,0.47070795,0.30650237,0.00991260,0.68423528
-5.95797899,2.15069810,0.01190941,0.15710189,0.84207051,0.92550284,0.49998766,0.32064330,0.01044380,0.72373859
-5.95197599,2.25556254,0.01245908,0.16714163,0.89735193,0.96612129,0.52833519,0.33395481,0.01095367,0.76194749
-5.94597299,2.35422596,0.01299202,0.17680216,0.95081907,1.00390483,0.55530156,0.34620623,0.01143316,0.79825023
-5.93996998,2.44502050,0.01349702,0.18593525,1.00165187,1.03819661,0.58044325,0.35717828,0.01187335,0.83204872
-5.93396698,2.52639402,0.01396356,0.19439718,1.04904837,1.06840299,0.60333492,0.36667016,0.01226564,0.86277662
-5.92796398,2.59696235,0.01438213,0.20205297,1.09224905,1.09401532,0.62358239,0.37450635,0.01260212,0.88991789
-5.92196098,2.65555914,0.01474458,0.20878063,1.13056158,1.11463008,0.64083536,0.38054296,0.01287574,0.91302458
-5.91595798,2.70128105,0.01504441,0.21447522,1.16338470,1.12996668,0.65479927,0.38467333,0.01308061,0.93173353
-5.90995498,2.73352637,0.01527706,0.21905257,1.19023033,1.13988207,0.66524595,0.38683250,0.01321222,0.94578092
-5.90395198,2.75202500,0.01544006,0.22245251,1.21074273,1.14438130,0.67202227,0.38700059,0.01326753,0.95501406
-5.89794897,2.75685829,0.01553322,0.22464133,1.22471377,1.14362352,0.67505661,0.38520467,0.01324519,0.95939972
-5.89194597,2.74846743,0.01555862,0.22561345,1.23209341,1.13792303,0.67436267,0.38151920,0.01314555,0.95902869
-5.88594297,2.72764955,0.01552059,0.22539213,1.23299472,1.12774492,0.67004040,0.37606481,0.01297066,0.95411583
-5.87993997,2.69554134,0.01542560,0.22402916,1.22769306,1.11369554,0.66227393,0.36900556,0.01272428,0.94499588
-5.87393697,2.65359020,0.01528199,0.22160349,1.21661916,1.09650766,0.65132649,0.36054475,0.01241172,0.93211466
-5.86793397,2.60351392,0.01509972,0.21821890,1.20034631,1.07702089,0.63753256,0.35091930,0.01203970,0.91601619
-5.86193097,2.54725001,0.01488997,0.21400070,1.17957204,1.05615784,0.62128752,0.34039304,0.01161617,0.89732590
-5.85592796,2.48689637,0.01466471,0.20909161,1.15509504,1.03489682,0.60303509,0.32924897,0.01115005,0.87673073
-5.84992496,2.42464561,0.01443624,0.20364707,1.12778816,1.01424182,0.58325332,0.31778101,0.01065099,0.85495675
-5.84392196,2.36271523,0.01421671,0.19783006,1.09856874,0.99519102,0.56243952,0.30628530,0.01012908,0.83274528
-5.83791896,2.30327644,0.01401759,0.19180570,1.06836749,0.97870464,0.54109485,0.29505149,0.00959455,0.81082829
-5.83191596,2.24838424,0.01384924,0.18573596,1.03809736,0.96567347,0.51970925,0.28435428,0.00905756,0.78990442
-5.82591296,2.19991147,0.01372047,0.17977452,1.00862365,0.95688908,0.49874729,0.27444556,0.00852789,0.77061615
-5.81990995,2.15948927,0.01363816,0.17406218,0.98073670,0.95301684,0.47863550,0.26554738,0.00801473,0.75352950
-5.81390695,2.12845633,0.01360696,0.16872293,0.95512832,0.95457264,0.45975177,0.25784593,0.00752652,0.73911675
-5.80790395,2.10781863,0.01362911,0.16386079,0.93237294,0.96190438,0.44241709,0.25148686,0.00707077,0.72774305
-5.80190095,2.09822140,0.01370434,0.15955766,0.91291405,0.97517865,0.42688989,0.24657191,0.00665398,0.71965731
-5.79589795,2.09993396,0.01382983,0.15587213,0.89705655,0.99437342,0.41336323,0.24315706,0.00628156,0.71498783
-5.78989495,2.11284812,0.01400038,0.15283927,0.88496497,1.01927683,0.40196463,0.24125219,0.00595782,0.71374257
-5.78389195,2.13648994,0.01420858,0.15047146,0.87666745,1.04949235,0.39275858,0.24082221,0.00568601,0.71581414
-5.77788894,2.17004412,0.01444510,0.14876003,0.87206514,1.08445004,0.38575126,0.24178956,0.00546836,0.72098907
-5.77188594,2.21239002,0.01469914,0.14767769,0.87094611,1.12342367,0.38089726,0.24403809,0.00530618,0.72896086
-5.76588294,2.26214761,0.01495878,0.14718153,0.87300304,1.16555306,0.37810776,0.24741792,0.00519994,0.73934617
-5.75987994,2.31773132,0.01521156,0.14721645,0.87785354,1.20987083,0.37725967,0.25175135,0.00514944,0.75170337
-5.75387694,2.37740966,0.01544492,0.14771873,0.88506204,1.25533268,0.37820519,0.25683933,0.00515389,0.76555241
-5.74787394,2.43936791,0.01564675,0.14861971,0.89416193,1.30085007,0.38078127,0.26246852,0.00521203,0.78039528
-5.74187094,2.50177151,0.01580584,0.14984915,0.90467695,1.34532405,0.38481848,0.26841837,0.00532226,0.79573591
-5.73586793,2.56282757,0.01591237,0.15133838,0.91614077,1.38767906,0.39014887,0.27446829,0.00548274,0.81109884
-5.72986493,2.62084198,0.01595822,0.15302285,0.92811373,1.42689539,0.39661240,0.28040437,0.00569142,0.82604562
-5.72386193,2.67427020,0.01593731,0.15484412,0.94019635,1.46203920,0.40406178,0.28602567,0.00594611,0.84018845
-5.71785893,2.72175974,0.01584580,0.15675122,0.95203879,1.49228886,0.41236553,0.29114966,0.00624453,0.85320059
-5.71185593,2.76218307,0.01568217,0.15870127,0.96334642,1.51695687,0.42140916,0.29561683,0.00658425,0.86482295
-5.70585293,2.79466001,0.01544727,0.16065950,0.97388124,1.53550645,0.43109474,0.29929419,0.00696271,0.87486713
-5.69984992,2.81856920,0.01514419,0.16259862,0.98345967,1.54756243,0.44133876,0.30207764,0.00737716,0.88321470
-5.69384692,2.83354882,0.01477809,0.16449776,0.99194710,1.55291614,0.45206889,0.30389324,0.00782462,0.88981308
-5.68784392,2.83948711,0.01435597,0.16634091,0.99924984,1.55152430,0.46321962,0.30469726,0.00830180,0.89466851
-5.68184092,2.83650379,0.01388630,0.16811526,1.00530539,1.54350226,0.47472741,0.30447511,0.00880507,0.89783663
-5.67583792,2.82492382,0.01337869,0.16980933,1.01007179,1.52911199,0.48652571,0.30323939,0.00933037,0.89941134
-5.66983492,2.80524509,0.01284348,0.17141120,1.01351700,1.50874562,0.49854013,0.30102697,0.00987318,0.89951274
-5.66383192,2.77810221,0.01229132,0.17290693,1.01560907,1.48290534,0.51068418,0.29789547,0.01042853,0.89827481
-5.65782891,2.74422799,0.01173280,0.17427927,1.01630786,1.45218080,0.52285601,0.29391919,0.01099094,0.89583357
-5.65182591,2.70441489,0.01117803,0.17550677,1.01555884,1.41722485,0.53493617,0.28918484,0.01155449,0.89231644
-5.64582291,2.65947805,0.01063637,0.17656332,1.01328951,1.37872890,0.54678673,0.28378712,0.01211287,0.88783313
-5.63981991,2.61022159,0.01011610,0.17741819,1.00940835,1.33739886,0.55825175,0.27782442,0.01265941,0.88246874
