energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.14742160,0.00688689,0.28754136,1.30458908,0.50492309,0.27902249,0.00000000,0.03848214,0.04399806
-5.99399700,1.19895586,0.00693412,0.29704463,1.36933326,0.52358021,0.29465011,0.00000000,0.04060521,0.04542674
-5.98799400,1.25055252,0.00700982,0.30625621,1.43300192,0.54203947,0.31033605,0.00000000,0.04271183,0.04692407
-5.98199100,1.30127078,0.00710512,0.31501322,1.49449054,0.56004771,0.32578890,0.00000000,0.04475459,0.04843382
-5.97598799,1.35014144,0.00721109,0.32314731,1.55266866,0.57733240,0.34071202,0.00000000,0.04668674,0.04990144
-5.96998499,1.39618624,0.00731895,0.33048815,1.60640543,0.59360622,0.35480970,0.00000000,0.04846326,0.05127499
-5.96398199,1.43844029,0.00742025,0.33686768,1.65459821,0.60857333,0.36779402,0.00000000,0.05004192,0.05250601
-5.95797899,1.47597652,0.00750713,0.34212480,1.69620311,0.62193684,0.37939221,0.00000000,0.05138445,0.05355055
-5.95197599,1.50793116,0.00757250,0.34611049,1.73026623,0.63340741,0.38935406,0.00000000,0.05245763,0.05437003
-5.94597299,1.53352937,0.00761020,0.34869295,1.75595404,0.64271242,0.39745934,0.00000000,0.05323437,0.05493214
-5.93996998,1.55210956,0.00761515,0.34976259,1.77258158,0.64960540,0.40352458,0.00000000,0.05369463,0.05521157
-5.93396698,1.56314558,0.00758346,0.34923654,1.77963699,0.65387529,0.40740916,0.00000000,0.05382621,0.05519059
-5.92796398,1.56626554,0.00751251,0.34706255,1.77680120,0.65535494,0.40902041,0.00000000,0.05362535,0.05485950
-5.92196098,1.56126664,0.00740098,0.34322194,1.76396178,0.65392877,0.40831735,0.00000000,0.05309710,0.05421679
-5.91595798,1.54812524,0.00724884,0.33773155,1.74122029,0.64953895,0.40531320,0.00000000,0.05225551,0.05326910
-5.90995498,1.52700189,0.00705731,0.33064460,1.70889275,0.64219002,0.40007631,0.00000000,0.05112353,0.05203106
-5.90395198,1.49824115,0.00682875,0.32205030,1.66750335,0.63195178,0.39272983,0.00000000,0.04973277,0.05052474
-5.89794897,1.46236648,0.00656660,0.31207243,1.61777170,0.61896035,0.38344987,0.00000000,0.04812307,0.04877907
-5.89194597,1.42007050,0.00627516,0.30086683,1.56059437,0.60341746,0.37246258,0.00000000,0.04634184,0.04682901
