energy_ev,total_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.15019450,0.17295041,0.24679797,0.46046712,0.10721937,0.06175950,0.03324973,0.03294216,0.42883848
-5.99399700,1.16506187,0.16941659,0.25034975,0.46821293,0.10743359,0.06335225,0.03170653,0.03428730,0.43374736
-5.98799400,1.17597792,0.16578266,0.25292938,0.47432525,0.10744166,0.06464127,0.03021105,0.03545981,0.43721895
-5.98199100,1.18257676,0.16202460,0.25445546,0.47863284,0.10723504,0.06560595,0.02876452,0.03643773,0.43913841
-5.97598799,1.18458321,0.15812881,0.25486537,0.48100064,0.10681201,0.06623038,0.02736909,0.03720272,0.43942747
-5.96998499,1.18182815,0.15409568,0.25411778,0.48133541,0.10617920,0.06650387,0.02602850,0.03774074,0.43805004
-5.96398199,1.17426085,0.14994267,0.25219453,0.47959026,0.10535316,0.06642124,0.02474871,0.03804260,0.43501682
-5.95797899,1.16195809,0.14570661,0.24910170,0.47576772,0.10436184,0.06598303,0.02353831,0.03810448,0.43038852
-5.95197599,1.14512944,0.14144533,0.24487011,0.46992133,0.10324588,0.06519560,0.02240887,0.03792816,0.42427777
-5.94597299,1.12411877,0.13723838,0.23955495,0.46215575,0.10205982,0.06407101,0.02137512,0.03752113,0.41684962
-5.93996998,1.09940178,0.13318697,0.23323471,0.45262533,0.10087302,0.06262678,0.02045500,0.03689656,0.40832045
-5.93396698,1.07157965,0.12941305,0.22600945,0.44153119,0.09977030,0.06088553,0.01966949,0.03607302,0.39895551
-5.92796398,1.04136899,0.12605762,0.21799840,0.42911696,0.09885236,0.05887446,0.01904241,0.03507408,0.38906500
-5.92196098,1.00958842,0.12327815,0.20933706,0.41566319,0.09823571,0.05662469,0.01860000,0.03392776,0.37899877
-5.91595798,0.97714201,0.12124542,0.20017389,0.40148076,0.09805227,0.05417058,0.01837042,0.03266586,0.36913977
-5.90995498,0.94500013,0.12013962,0.19066658,0.38690329,0.09844850,0.05154882,0.01838308,0.03132314,0.35989638
-5.90395198,0.91417800,0.12014585,0.18097822,0.37227887,0.09958398,0.04879769,0.01866795,0.02993652,0.35169372
-5.89794897,0.88571267,0.12144915,0.17127336,0.35796125,0.10162951,0.04595606,0.01925466,0.02854412,0.34496410
-5.89194597,0.86063854,0.12422902,0.16171403,0.34430070,0.10476462,0.04306260,0.02017158,0.02718445,0.34013677
-5.88594297,0.83996238,0.12865367,0.15245594,0.33163485,0.10917448,0.04015486,0.02144486,0.02589543,0.33762713
-5.87993997,0.82463791,0.13487392,0.14364494,0.32027955,0.11504626,0.03726856,0.02309726,0.02471362,0.33782568
-5.87393697,0.81554079,0.14301711,0.13541374,0.31052018,0.12256485,0.03443679,0.02514715,0.02367336,0.34108679
-5.86793397,0.81344438,0.15318093,0.12787901,0.30260346,0.13190811,0.03168950,0.02760729,0.02280613,0.34771766
-5.86193097,0.81899680,0.16542750,0.12113897,0.29673009,0.14324155,0.02905293,0.03048380,0.02213984,0.35796764
-5.85592796,0.83269981,0.17977788,0.11527143,0.29304834,0.15671272,0.02654927,0.03377510,0.02169833,0.37201825
-5.84992496,0.85489022,0.19620714,0.11033236,0.29164890,0.17244515,0.02419643,0.03747095,0.02150089,0.38997421
-5.84392196,0.88572411,0.21464038,0.10635499,0.29256105,0.19053234,0.02200792,0.04155172,0.02156191,0.41185576
-5.83791896,0.92516465,0.23494975,0.10334946,0.29575044,0.21103163,0.01999288,0.04598777,0.02189060,0.43759260
-5.83191596,0.97297389,0.25695293,0.10130306,0.30111854,0.23395835,0.01815617,0.05073917,0.02249076,0.46701985
-5.82591296,1.02870903,0.28041310,0.10018092,0.30850389,0.25928048,0.01649867,0.05575567,0.02336073,0.49987623
-5.81990995,1.09172367,0.30504064,0.09992731,0.31768519,0.28691399,0.01501756,0.06097703,0.02449331,0.53580471
-5.81390695,1.16117420,0.33049676,0.10046731,0.32838622,0.31671906,0.01370677,0.06633374,0.02587581,0.57435589
-5.80790395,1.23603165,0.35639902,0.10170906,0.34028263,0.34849763,0.01255740,0.07174808,0.02749022,0.61499420
-5.80190095,1.31509889,0.38232867,0.10354625,0.35301020,0.38199233,0.01155825,0.07713558,0.02931341,0.65710686
-5.79589795,1.39703321,0.40783991,0.10586107,0.36617472,0.41688702,0.01069630,0.08240687,0.03131743,0.70001559
-5.78989495,1.48037371,0.43247052,0.10852731,0.37936292,0.45280923,0.00995731,0.08746975,0.03346993,0.74299087
-5.78389195,1.56357310,0.45575386,0.11141373,0.39215422,0.48933445,0.00932627,0.09223159,0.03573466,0.78526830
-5.77788894,1.64503312,0.47723166,0.11438743,0.40413300,0.52599237,0.00878787,0.09660188,0.03807208,0.82606677
-5.77188594,1.72314253,0.49646710,0.11731731,0.41490081,0.56227512,0.00832704,0.10049479,0.04044002,0.86460781
-5.76588294,1.79631672,0.51305790,0.12007735,0.42408810,0.59764719,0.00792923,0.10383176,0.04279453,0.90013556
-5.75987994,1.86303757,0.52664856,0.12254974,0.43136522,0.63155702,0.00758082,0.10654393,0.04509070,0.93193654
-5.75387694,1.92189229,0.53694149,0.12462773,0.43645190,0.66344987,0.00726940,0.10857431,0.04728364,0.95935880
-5.74787394,1.97161005,0.54370639,0.12621810,0.43912526,0.69278155,0.00698393,0.10987958,0.04932945,0.98182943
-5.74187094,2.01109492,0.54678748,0.12724316,0.43922574,0.71903269,0.00671492,0.11043149,0.05118620,0.99887000
-5.73586793,2.03945408,0.54610829,0.12764236,0.43666079,0.74172293,0.00645453,0.11021777,0.05281500,1.01010938
-5.72986493,2.05602038,0.54167376,0.12737320,0.43140635,0.76042461,0.00619654,0.10924245,0.05418089,1.01529322
-5.72386193,2.06036825,0.53356954,0.12641178,0.42350593,0.77477544,0.00593638,0.10752563,0.05525378,1.01429009
-5.71785893,2.05232264,0.52195852,0.12475264,0.41306743,0.78448949,0.00567102,0.10510279,0.05600919,1.00709384
-5.71185593,2.03196063,0.50707491,0.12240816,0.40025797,0.78936629,0.00539885,0.10202345,0.05642894,0.99382220
-5.70585293,1.99960583,0.48921593,0.11940749,0.38529690,0.78929748,0.00511955,0.09834947,0.05650160,0.97471188
-5.69984992,1.95581589,0.46873166,0.11579499,0.36844742,0.78427079,0.00483394,0.09415300,0.05622280,0.95011024
-5.69384692,1.90136365,0.44601357,0.11162840,0.35000721,0.77437115,0.00454380,0.08951409,0.05559531,0.92046402
-5.68784392,1.83721302,0.42148203,0.10697675,0.33029848,0.75977890,0.00425168,0.08451822,0.05462894,0.88630576
-5.68184092,1.76449035,0.39557368,0.10191804,0.30965795,0.74076517,0.00396075,0.07925368,0.05334021,0.84823827
-5.67583792,1.68445274,0.36872888,0.09653697,0.28842705,0.71768468,0.00367467,0.07380911,0.05175187,0.80691806
-5.66983492,1.59845447,0.34137992,0.09092260,0.26694296,0.69096611,0.00339742,0.06827113,0.04989217,0.76303816
-5.66383192,1.50791273,0.31394040,0.08516620,0.24553055,0.66110068,0.00313322,0.06272221,0.04779404,0.71731121
-5.65782891,1.41427422,0.28679611,0.07935921,0.22449566,0.62862928,0.00288643,0.05723890,0.04549420,0.67045323
-5.65182591,1.31898339,0.26029761,0.07359154,0.20411983,0.59412869,0.00266150,0.05189035,0.04303207,0.62316876
-5.64582291,1.22345363,0.23475482,0.06795006,0.18465656,0.55819757,0.00246297,0.04673726,0.04044877,0.57613772
-5.63981991,1.12904202,0.21043344,0.06251751,0.16632911,0.52144256,0.00229540,0.04183125,0.03778605,0.53000436
-5.63381691,1.03702835,0.18755339,0.05737163,0.14932976,0.48446523,0.00216345,0.03721452,0.03508530,0.48536849
-5.62781391,0.94859867,0.16628890,0.05258466,0.13382038,0.44785007,0.00207187,0.03291997,0.03238665,0.44277908
-5.62181091,0.86483349,0.14677030,0.04822310,0.11993408,0.41215412,0.00202551,0.02897157,0.02972815,0.40273023
-5.61580790,0.78670048,0.12908694,0.04434770,0.10777777,0.37789825,0.00202940,0.02538499,0.02714508,0.36565926
-5.60980490,0.71505137,0.11329125,0.04101363,0.09743528,0.34556037,0.00208876,0.02216846,0.02466945,0.33194678
-5.60380190,0.65062238,0.09940340,0.03827079,0.08897076,0.31557057,0.00220897,0.01932377,0.02232960,0.30191837
-5.59779890,0.59403770,0.08741636,0.03616415,0.08243216,0.28830802,0.00239563,0.01684728,0.02014999,0.27584747
-5.59179590,0.54581501,0.07730106,0.03473411,0.07785443,0.26409961,0.00265447,0.01473106,0.01815112,0.25395903
-5.58579290,0.50637236,0.06901139,0.03401671,0.07526235,0.24321984,0.00299129,0.01296392,0.01634957,0.23643363
-5.57978989,0.47603553,0.06248871,0.03404384,0.07467265,0.22589194,0.00341188,0.01153239,0.01475814,0.22341143
-5.57378689,0.45504511,0.05766593,0.03484318,0.07609540,0.21228960,0.00392188,0.01042155,0.01338614,0.21499583
-5.56778389,0.44356256,0.05447079,0.03643797,0.07953460,0.20253917,0.00452658,0.00961584,0.01223962,0.21125627
-5.56178089,0.44167482,0.05282844,0.03884657,0.08498786,0.19672195,0.00523077,0.00909959,0.01132175,0.21223016
-5.55577789,0.44939691,0.05266318,0.04208182,0.09244524,0.19487622,0.00603846,0.00885745,0.01063315,0.21792360
-5.54977489,0.46667247,0.05389951,0.04615023,0.10188740,0.19699896,0.00695268,0.00887469,0.01017222,0.22831090
-5.54377189,0.49337220,0.05646243,0.05105092,0.11328309,0.20304689,0.00797524,0.00913729,0.00993542,0.24333299
-5.53776888,0.52929031,0.06027710,0.05677461,0.12658620,0.21293702,0.00910643,0.00963198,0.00991755,0.26289474
-5.53176588,0.57413943,0.06526811,0.06330247,0.14173265,0.22654657,0.01034485,0.01034606,0.01011195,0.28686154
-5.52576288,0.62754447,0.07135824,0.07060502,0.15863714,0.24371237,0.01168716,0.01126724,0.01051064,0.31505526
-5.51975988,0.68903610,0.07846716,0.07864119,0.17719022,0.26423008,0.01312797,0.01238333,0.01110439,0.34725021
-5.51375688,0.75804449,0.08650991,0.08735756,0.19725580,0.28785321,0.01465970,0.01368191,0.01188278,0.38316917
-5.50775388,0.83389428,0.09539553,0.09668782,0.21866932,0.31429245,0.01627254,0.01515000,0.01283419,0.42248022
-5.50175088,0.91580128,0.10502584,0.10655266,0.24123676,0.34321548,0.01795450,0.01677372,0.01394575,0.46479451
-5.49574787,1.00287189,0.11529450,0.11685996,0.26473476,0.37424753,0.01969147,0.01853797,0.01520332,0.50966552
-5.48974487,1.09410554,0.12608648,0.12750548,0.28891180,0.40697306,0.02146741,0.02042617,0.01659136,0.55659009
-5.48374187,1.18840099,0.13727795,0.13837392,0.31349057,0.44093872,0.02326461,0.02242006,0.01809298,0.60501133
-5.47773887,1.28456637,0.14873666,0.14934050,0.33817159,0.47565766,0.02506397,0.02449955,0.01968981,0.65432379
-5.47173587,1.38133346,0.16032280,0.16027286,0.36263792,0.51061548,0.02684539,0.02664273,0.02136213,0.70388076
-5.46573287,1.47737574,0.17189044,0.17103342,0.38656090,0.54527765,0.02858819,0.02882589,0.02308884,0.75300369
-5.45972986,1.57133024,0.18328926,0.18148195,0.40960674,0.57909829,0.03027150,0.03102366,0.02484766,0.80099360
-5.45372686,1.66182237,0.19436685,0.19147846,0.43144380,0.61153028,0.03187480,0.03320932,0.02661529,0.84714417
-5.44772386,1.74749328,0.20497120,0.20088617,0.45175025,0.64203633,0.03337830,0.03535506,0.02836768,0.89075609
-5.44172086,1.82702878,0.21495357,0.20957449,0.47022183,0.67010062,0.03476346,0.03743246,0.03008032,0.93115238
-5.43571786,1.89918898,0.22417137,0.21742208,0.48657959,0.69524083,0.03601335,0.03941294,0.03172868,0.96769398
-5.42971486,1.96283762,0.23249126,0.22431958,0.50057715,0.71701983,0.03711308,0.04126835,0.03328860,0.99979525
-5.42371186,2.01697014,0.23979203,0.23017229,0.51200733,0.73505691,0.03805012,0.04297154,0.03473680,1.02693871
-5.41770885,2.06073940,0.24596751,0.23490242,0.52070805,0.74903786,0.03881456,0.04449698,0.03605136,1.04868862
-5.41170585,2.09347835,0.25092917,0.23845108,0.52656700,0.75872370,0.03939940,0.04582139,0.03721226,1.06470274
-5.40570285,2.11471879,0.25460846,0.24077975,0.52952535,0.76395754,0.03980069,0.04692437,0.03820188,1.07474213
-5.39969985,2.12420553,0.25695877,0.24187147,0.52958010,0.76466937,0.04001765,0.04778893,0.03900552,1.07867832
-5.39369685,2.12190563,0.25795706,0.24173142,0.52678517,0.76087870,0.04005278,0.04840207,0.03961181,1.07649794
