energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.03798962,0.51664490,0.00830147,0.00067635,0.08818670,0.38949376,0.40749644
-5.99399700,1.04333740,0.52248470,0.00830234,0.00067105,0.08435756,0.38877779,0.41098870
-5.98799400,1.04378763,0.52556470,0.00826327,0.00066306,0.08054544,0.38659816,0.41244265
-5.98199100,1.03912483,0.52575476,0.00818282,0.00065232,0.07674777,0.38290195,0.41177176
-5.97598799,1.02925518,0.52299475,0.00806039,0.00063877,0.07296216,0.37767289,0.40894015
-5.96998499,1.01421108,0.51729646,0.00789627,0.00062246,0.06918714,0.37093320,0.40396423
-5.96398199,0.99415105,0.50874292,0.00769162,0.00060346,0.06542291,0.36274381,0.39691235
-5.95797899,0.96935472,0.49748513,0.00744852,0.00058192,0.06167185,0.35320299,0.38790244
-5.95197599,0.94021314,0.48373623,0.00716985,0.00055806,0.05793893,0.34244333,0.37709779
-5.94597299,0.90721484,0.46776347,0.00685928,0.00053211,0.05423193,0.33062726,0.36470104
-5.93996998,0.87092829,0.44987832,0.00652111,0.00050439,0.05056143,0.31794129,0.35094679
-5.93396698,0.83198160,0.43042514,0.00616016,0.00047524,0.04694061,0.30458926,0.33609304
-5.92796398,0.79104052,0.40976910,0.00578159,0.00044501,0.04338489,0.29078498,0.32041203
-5.92196098,0.74878574,0.38828376,0.00539079,0.00041408,0.03991146,0.27674459,0.30418085
-5.91595798,0.70589066,0.36633904,0.00499317,0.00038284,0.03653871,0.26267913,0.28767220
-5.90995498,0.66300069,0.34429004,0.00459404,0.00035166,0.03328562,0.24878755,0.27114591
-5.90395198,0.62071488,0.32246720,0.00419846,0.00032090,0.03017118,0.23525073,0.25484142
-5.89794897,0.57957082,0.30116824,0.00381110,0.00029088,0.02721386,0.22222652,0.23897160
-5.89194597,0.54003324,0.28065216,0.00343617,0.00026190,0.02443117,0.20984627,0.22371811
-5.88594297,0.50248671,0.26113540,0.00307733,0.00023421,0.02183940,0.19821281,0.20922856
-5.87993997,0.46723258,0.24279032,0.00273762,0.00020801,0.01945343,0.18739999,0.19561529
-5.87393697,0.43449003,0.22574586,0.00241950,0.00018348,0.01728676,0.17745378,0.18295587
-5.86793397,0.40440083,0.21009020,0.00212478,0.00016072,0.01535166,0.16839468,0.17129521
-5.86193097,0.37703751,0.19587519,0.00185471,0.00013981,0.01365950,0.16022144,0.16064893
-5.85592796,0.35241409,0.18312219,0.00160998,0.00012077,0.01222119,0.15291561,0.15100786
-5.84992496,0.33049878,0.17182895,0.00139081,0.00010359,0.01104768,0.14644688,0.14234332
-5.84392196,0.31122782,0.16197701,0.00119700,0.00008823,0.01015056,0.14077869,0.13461283
-5.83791896,0.29451962,0.15353928,0.00102802,0.00007462,0.00954266,0.13587390,0.12776593
-5.83191596,0.28028852,0.14648746,0.00088310,0.00006266,0.00923859,0.13170017,0.12174992
-5.82591296,0.26845730,0.14079864,0.00076126,0.00005225,0.00925527,0.12823477,0.11651495
-5.81990995,0.25896797,0.13646099,0.00066144,0.00004326,0.00961229,0.12546859,0.11201859
-5.81390695,0.25179018,0.13347822,0.00058251,0.00003556,0.01033207,0.12340902,0.10822933
-5.80790395,0.24692701,0.13187241,0.00052339,0.00002902,0.01143991,0.12208177,0.10512913
-5.80190095,0.24441767,0.13168528,0.00048300,0.00002352,0.01296371,0.12153126,0.10271475
-5.79589795,0.24433724,0.13297770,0.00046038,0.00001893,0.01493348,0.12181969,0.10099791
-5.78989495,0.24679325,0.13582742,0.00045465,0.00001512,0.01738050,0.12302485,0.10000437
-5.78389195,0.25191934,0.14032526,0.00046501,0.00001200,0.02033631,0.12523660,0.09977182
-5.77788894,0.25986636,0.14656965,0.00049078,0.00000945,0.02383124,0.12855220,0.10034689
-5.77188594,0.27079107,0.15465997,0.00053135,0.00000740,0.02789290,0.13307080,0.10178131
-5.76588294,0.28484327,0.16468884,0.00058613,0.00000575,0.03254423,0.13888706,0.10412748
-5.75987994,0.30215158,0.17673371,0.00065457,0.00000445,0.03780162,0.14608445,0.10743368
-5.75387694,0.32280878,0.19084812,0.00073609,0.00000342,0.04367276,0.15472827,0.11173901
-5.74787394,0.34685738,0.20705310,0.00083004,0.00000263,0.05015459,0.16485890,0.11706858
-5.74187094,0.37427598,0.22532907,0.00093567,0.00000203,0.05723139,0.17648550,0.12342891
-5.73586793,0.40496735,0.24560867,0.00105210,0.00000158,0.06487301,0.18958051,0.13080395
-5.72986493,0.43874890,0.26777106,0.00117827,0.00000127,0.07303350,0.20407524,0.13915189
